A: 	oké dit zijn die een met dat soort van tui aan de onderkant en dan hebben je aan de bovenkant hebben je die vierhoekjes met die stok eruit 
B: 	ja 
B: 	met die steeds groot worden vierkant toch 
A: 	ja en dan en dan voor de controle ook nog zo'n soort van handva beetje vooraan en dan ook nog één 
B: 	wat je 
A: 	maar dat dat tui aan de onderkant dan weten je wel welk ik bedoelen 
B: 	ja 
B: 	dat zijn M bij mij 
B: 	dit zijn die met zo'n met dat staart van jou 
B: 	hoe hoe noemen je dat 
B: 	dat met dat vierkant op het beker met daar die twee schroef uit 
A: 	ja en het schoorsteen 
B: 	ja 
A: 	ja dat zijn nummer 
B: 	nee wachten het schoorsteen 
A: 	ja paddenstoel 
A: 	die vierkant die steeds groot worden 
A: 	twee daarvan aan de linkerkant en die vierkant die er 
B: 	nee nee wachten dat zijn een ander 
B: 	hij lijken er wel heel veel op of ja 
A: 	oké 
B: 	maar dit zijn die met aan de onderkant hebben die zo'n uitsteeksel 
B: 	zo'n zo'n 
A: 	dat tui en dan zitten er dat dat dat ruitje zitten aan de bovenkant met die vierkan 
B: 	ja dat woord zoeken ik 
B: 	ja 
B: 	ja ja ja 
A: 	en dan aan de rechterkant oké dat zijn nummer negen 
A: 	bij mij zijn het het kop met het tui aan de onderkant en 
A: 	aan de bovenkant die vierkant die steeds groot worden die in de ruit zitten 
B: 	ja 
B: 	ja 
B: 	dat zijn H 
B: 	dit zijn die met dat staart eronder 
B: 	dus aan de onderkant van het top het kop 
A: 	dat 
A: 	dat tui met die vierhoek en die aan de bovenkant 
B: 	ja dat woord vergeten ik steeds 
B: 	ja 
A: 	nummer elf 
A: 	het kop met het tui aan de onderkant en het het ruitje met de vierkant 
B: 	ja 
B: 	vierkant 
B: 	dat zijn D 
B: 	dit zijn die met het tui beneden 
B: 	en die vier dat die ruit waar die vierkant uit komen 
A: 	ja 
A: 	nummer veertien 
