B: 	mijn hebben een plaat ertegenaan en een soort ja champignon of zo erop 
A: 	ja ja een soort spijkerding of zo 
B: 	ja 
A: 	ja 
A: 	dat zijn bij mij twee 
A: 	deze hebben een soort paddenstoeltje bovenop 
A: 	en die plaat zeggen maar aan de een vierkant aan de voorkant een plat 
B: 	ja 
B: 	dat zijn bij mij G 
B: 	deze zijn weer met dat plaat ertegenaan en die paddenstoel erop 
A: 	ja dat zijn bij mij negen 
A: 	deze hebben het paddenstoel bovenop en dan die plaat aan de voorkant 
A: 	dat vierkant 
B: 	dat zijn bij mij d 
B: 	met die paddenstoel 
A: 	met de paddenstoel waar zitten die 
A: 	dat zijn nummer één 
A: 	die met de paddenstoel 
B: 	B 
