B: 	dit plaat hebben een soort ik vinden het een beetje op een schroef lijken aan de onderkant 
A: 	ja 
A: 	de wokkel 
B: 	ja en dan met een driehoek eronderaan en 
A: 	ja ja 
B: 	ja 
A: 	dat zijn nummer vier bij mij 
B: 	oké 
A: 	deze hebben weer die wokkel aan de onderkant of die schroef 
B: 	oké 
A: 	noemen jij het geloven ik met die driehoek eronder en die twee vierkant bovenop 
B: 	ja 
B: 	dat zijn bij mij A 
B: 	dit zijn met die soort schroef 
B: 	of 
A: 	ja 
A: 	dat zijn nummer tien 
A: 	ik hebben nu met die schroef of met die wokkel onderaan 
B: 	ja 
A: 	ja 
B: 	hij ja dat zijn bij mij L 
B: 	dit zijn met die schroef 
A: 	ja 
B: 	kronkelding 
A: 	dat zijn nummer vier 
A: 	dit zijn met die wokkel aan de onderkant die schroef 
B: 	ja 
B: 	dat zijn bij mij F 
