B: 	ja ik mogen beginnen 
A: 	jij mogen beginnen 
B: 	okee 
B: 	eens even kijken hoor 
B: 	de ja het zijn allemaal kop toch 
A: 	ja 
B: 	ja okee mooi 
B: 	deze hebben een een soort één groot balk aan de onderkant waar die op staat 
A: 	ja 
B: 	het lijken alsof die een soort lepeltje hebben 
A: 	okee 
B: 	voor mijn gevoel dan 
B: 	er zitten een een rond handvat aan die je gewoon zo vast kunnen houden 
B: 	en een een plat schijf aan de achterkant 
A: 	een plat schijf aan de achterkant 
B: 	ja 
A: 	ja zijn lijken die schijf een beetje op alsof er een citroen in zitten 
B: 	ja zo zullen je hem wel kunnen zien even kijken hoor 
A: 	dus er zitten aan de rechterkant voor mij rechts zeggen maar een lepel dus voor jou ook rechts een steel daarvan daaronder zitten een balk dat door het midden lopen maar wel van de heel een kant naar de heel ander kant een staaf aan de linkerkant en een soort citroenschijfje 
B: 	ja 
B: 	ja ja ja ja ja 
B: 	ja ja ja 
A: 	okee dan dan weten we het het zijn nummer twee 
A: 	dit zijn met die citroen en het spatel of het lepel erin en dat uitsteeksel en de en aan de onderkant staan die op een op een balk 
B: 	ja dat zijn a 
A: 	okee top 
B: 	ah dit zijn de degeen die ik als één moeten omschrijven met het citroen erin 
A: 	okee negen 
A: 	dit zijn die met het citroen en het lepel erin 
B: 	citroen en het lepel eens even kijken hoor 
A: 	het uitsteeksel link 
B: 	ja ik 
B: 	daar dat zijn c 
B: 	dit zijn het citroen 
A: 	citroen zijn Numero een 
A: 	dit zijn met het citroen en het lepel 
B: 	dat zijn o 
