A: 	ja dit zijn ook eigenlijk zo'n ovaal ding waar aan de zijkant twee ronde ja staaf achtig gebeuren er uit komen 
A: 	en dan aan de achterkant hebben je nog een vierkant blok wat er tegenaan zitten 
B: 	ja en bovenop zo'n kegel die zeggen maar waarvan de kop er af zijn snijden zo'n plat dat ding wat zo omhoog lopen met een plat bovenkant 
A: 	even kijken 
A: 	ja als in ja je hebben eigenlijk zo'n kegel zeggen maar en dan hebben je aan iets Erboven hebben je zo'n soort vierkant gebeuren en dan lopen er nog iets achterlang 
B: 	o en dan die staaf die er echt zo doorheen zitten 
A: 	staaf er dwars doorheen gaan ja die ja 
B: 	ja ok dan zijn het K 
B: 	ja hier hebben je weer die soort cilinder of zo die er doorheen gaan en dan dat soort plateau met dat ding dat er achter hangen 
A: 	ja ja en dan dat plateau hebben dan nog een hangsel er achter ja 
B: 	ja hangsel dat het net lijken of hij omhoog en omlaag kunnen of zo 
A: 	ah ok ja dit zijn dan Numero negen 
A: 	ja dit zijn weer die die koker zeggen maar waar er waar er waar zo'n buisje helemaal doorheen gaan en aan de achterkant hebben je dan eigenlijk zo'n inklapbaar klep zeggen maar 
B: 	ja ja ik zijn hem even aan het zoeken ja ja dus die met die met die cilinder waar dan ook van die bollet aan de zijkant zitten ja ja dat zijn dan F 
A: 	ja 
A: 	ja 
A: 	ja ja ja ja 
B: 	ja zelfde 
A: 	verschuiven 
B: 	ja hier hebben je weer die cilinder die er doorheen gaan met dat pateautje dat lijken alsof het omlaag en omhoog kunnen 
A: 	ja ja ik hebben hem vinden 
B: 	ja ja 
A: 	dat zijn dan nummer drie 
A: 	ja dit zijn die die cilinder die eigenlijk onderin doorgaan met die bobbel er op en die inklapbaar klep of wat wel lijken 
B: 	ja 
B: 	dat zijn dan L 
B: 	ja dit zijn diegene met die cilinder doorheen met dat plateau en met dat aanhangsel waardoor het lijken alsof je hem naar beneden kunnen trekken of zo 
A: 	ja ja 
B: 	ja die cilinder die dan die er doorheen gaan en aan beide kant zitten nog een soort top of bolle of zo er bovenop 
A: 	ja ik zitten hem even te zoeken zeggen maar zeggen maar met die met die die klep zeggen maar bovenop hè ? ja ja 
B: 	ja 
A: 	o daar staan hij nummer vijf 
