B: 	ik hebben er nou één dat ja je kunnen het een beetje eigenlijk als een verrekijker zien of zo dat aan de 
B: 	linkerkant hebben je dan twee van die ja met vierkant die dan telkens groot worden 
B: 	en dan hebben je bovenop hebben je dan nog een soort van antenne zitten of zo lijken het wel 
A: 	en daarvoor zo'n vierkant plaat 
B: 	ja 
A: 	ja 
B: 	die 
A: 	dat zijn bij mij nummer twee 
A: 	ik hebben nu de een mat met die antenne en dat vierkant of ja die plaat ervoor zeggen maar en die twee vierkant uitstekend ding 
B: 	ja 
B: 	dat zijn bij mij G 
B: 	we hebben nou weer die een met dat vierkant aan de voorkant en dan weer met die vierkant die telkens groot worden dan die twee naast elkaar en die antenne inderdaad 
A: 	en die antenne erop 
A: 	ja 
A: 	nummer negen bij mij 
A: 	ik hebben nu die een met die antenne erop die plaat ervoor en die vierkant aan de linkerkant 
B: 	ja 
B: 	dat zijn bij mij d 
B: 	die een weer met dat vierkant aan de voorkant en die antenne aan de bovenkant en die vierkant die telkens groot worden 
A: 	ja 
A: 	nummer één zijn dat bij mij 
A: 	ik hebben die met die antenne staan bij mij onderin een beetje in het midden 
A: 	met zo'n vierkant plaat er voor en die vierkant die groot worden 
B: 	ja 
B: 	bij mij zijn dat B 
