B: 	ok hij zijn zeggen maar aan de onderkant rond en daarna zitten er een vierkant omheen en dan lopen hij zeggen maar weer ver 
B: 	en hij hebben aan de linkerkant ja beetje zoiets en aan de voorkant zitten een cilinder 
B: 	ja het zijn zeggen maar gewoon er zitten een vierkant om het object heen volgens mij zijn dat er maar één 
A: 	ja 
A: 	zitten er iets op de bovenkant 
B: 	ja twee punt 
A: 	okan ja dan zijn het zes 
A: 	deze hebben een vierkant zeggen maar door het kop heen zitten één ja een rond ding boven het vierkant er zitten een armp wat zo opsteken 
B: 	en twee punt 
A: 	ja 
B: 	ok dat zijn C 
B: 	okan ja dit zijn dat ding waar dat vierkant doorheen lopen 
A: 	zijn met dat rond ding zo naar voren 
B: 	ja en twee van die punt bovenop 
A: 	ja ok dat zijn dertien 
A: 	dit zijn met dat vierkant die er doorheen door het kop heen gaan met die ja balk die daar eigenlijk op liggen twee dinge aan de bovenkant klein punt zeggen maar en één 
B: 	o dat vierkant dat er doorheen gaan ok 
A: 	ja 
B: 	o ja dat zijn J 
B: 	ja dit zijn waar dat vierkant vlak doorheen lopen 
A: 	ja dat zijn negen 
A: 	dit zijn met dat vierkant door het kop heen met twee van die pinnet bovenop 
B: 	ja dat zijn N 
