A: 	deze hebben ja hoe hoe leggen je dat uit ? het zijn zeggen maar klokslag negen uur 
A: 	vinden ik dat hebben ik ervan maken 
A: 	omdat je dus een stuk richting de negen hebben en een stuk richting de twaalf 
A: 	en dat zijn een soort van bloemblaadjes van een margriet of zo 
A: 	en dan zitten er nog een soort slurf aan de achterkant en aan de schuin voorkant een een soort kubus die steeds groot worden 
B: 	ja 
B: 	ja dan weten ik welk je bedoelen 
A: 	ja ? hebben je hem door 
B: 	ja dat zijn E 
B: 	oké 
B: 	deze noemen jij negen uur geloven ik zeggen je 
A: 	ja dan ja dan weten ik hem meteen 
B: 	met vier uitsteeksel 
A: 	ja ja ja ja 
B: 	ja 
B: 	oké 
A: 	elf 
A: 	dit zijn negen uur 
B: 	one maar ook het zijn met van die kubus toch 
A: 	ja ja ja ja ja ja 
B: 	ja oké 
B: 	dan zijn het J 
B: 	dit zijn negen uur 
A: 	negen 
A: 	dit zijn negen uur 
B: 	ja dat zijn B 
B: 	dit zijn weer negen uur 
A: 	dat zijn vier 
