B: 	okee dit zijn het kop met links een arm 
B: 	en rechtsboven zijn een soort ovaal zo op deze manier 
A: 	dus links een arm 
B: 	zo ja zo 
B: 	op deze vorm 
B: 	die zitten rechtsboven 
B: 	maar zijn wel langwerpig wel hoor omhoog maar 
B: 	soort traan maar dan uitgerekt 
A: 	even kijken 
B: 	uitrekken uitgerekte traan rechtsboven 
B: 	en links een arm 
A: 	hebben hij nog ook eraan zitten 
B: 	ja linksachter een plat rond 
A: 	plat rond 
A: 	ah en zijn zijn arm rond maar ook een beetje met hoek 
B: 	ja 
A: 	en hebben hij onder ook nog iets zitten 
B: 	ja ja een een verhoginkje 
A: 	hij staan op zo'n zo'n ding 
A: 	ja ik denken dat ik het weten 
B: 	okee 
A: 	dat zijn nummer dertien 
B: 	okee 
A: 	denken ik 
B: 	en dan mogen moeten ik of jij moeten jij duwen toch 
A: 	moeten ik of 
A: 	volgens mij moeten jij 
A: 	weten niet 
A: 	en deze hebben ja je kunnen zeggen een neus of arm dat zo uitsteken 
A: 	aan de linkerkant 
A: 	en die hebben een je kunnen zeggen dat het een lepeltje zijn dat er zo in vallen 
A: 	en een rond iets daarachter 
B: 	ja 
A: 	en hij staan op zo'n 
B: 	ja dat zijn o 
B: 	deze zijn ook met een lepeltje en dan een plat rond aan de achterkant 
B: 	en links een arm die rond zijn en hij staan op iets 
A: 	zo 
A: 	ja dat zijn nummer vier 
B: 	ja 
A: 	deze dit dit staan op zo'n zo'n ding weten je 
A: 	en die hebben hier een lepeltje en hier iets dat uitsteken 
A: 	en een rond daarachter 
B: 	ja m 
B: 	dit zijn met het lepeltje rechts en een plat rond linksachter en een arm links en hij staan op iets 
A: 	en hij staan 
B: 	ja 
A: 	dat zijn zestien 
A: 	dit zijn die een met het lepel hier 
A: 	hierzo dat er iets uitsteken het rond achter en daar staan hier nog iets 
B: 	ja 
B: 	dat zijn d 
