A: 	oké deze hebben 
A: 	ja twee kegel die er redelijk hetzelfde uitzien één aan de bovenkant erop en één aan de linkerkant 
A: 	en er zijn ook een ja een soort van kubus die zeggen maar 
A: 	die ja je hebben een groot kubus en dan een iets klein kubus die eraan zitten en nog iets klein dat zitten aan de rechterkant eraan 
A: 	en aan de linkerkant zien je boven die boven die kegel zien je ook nog een klein uitstulpinkje 
A: 	wat niet per se een duidelijk vorm hebben maar 
B: 	zitten er ook een ruitvorm in of 
A: 	er zitten niet er zitten geen ruitvorm in 
B: 	ik kunnen hem nu even niet zo snel vinden 
B: 	maar het zijn kegel die dezelfde hoogte hebben zelfde vorm 
A: 	ja in ieder geval zelfde vorm zelfde hoogte kunnen je niet echt zien want de een staan zeggen maar rechtop 
B: 	oké 
A: 	aan de bovenkant en de ander steken aan de linkerkant eruit naar links toe 
B: 	lijken het een lijken de vorm een beetje op een glaas 
A: 	one's nee dat zullen ik niet zeggen 
B: 	ook niet 
A: 	ik zullen eerder zeggen het lijken heel erg als je zeggen maar een het roer hebben van een groot schip weten je wel ? een piratenschip of zo 
A: 	dan hebben je altijd van die uitsteeksel aan de zijkant 
B: 	die 
A: 	daar lijken het op 
B: 	zijn het K 
B: 	ja het zijn geloven ik K ja 
A: 	ja 
A: 	ja 
B: 	ja 
A: 	en die hebben ook aan de rechterkant een raar 
B: 	ja 
A: 	ja oké dan zijn dat de goed 
B: 	ik zien hem 
B: 	ja 
B: 	ja 
A: 	ja dus dan moeten jij inderdaad drukken als je 
B: 	ja ja 
B: 	nou het zijn weer die een met die roervormig uitsteeksel 
A: 	ja ja 
B: 	het kop 
B: 	ja die 
A: 	ja 
A: 	oké 
B: 	en de blokkentoar eraan 
A: 	ja 
A: 	ja precies dat zijn elf voor mij 
B: 	ja 
B: 	oké 
A: 	oké dit zijn die met met die kegel van het roer zeggen maar 
B: 	ja 
A: 	en de blokkentoar aan de rechterkant 
B: 	ja 
B: 	zijn J 
B: 	zijn de het het anker weer 
B: 	het roer correctie roer 
A: 	even kijken waar staan die ? daar zo ja 
B: 	en de blokkentoar eraan 
A: 	oké dat zijn negen 
A: 	dat kloppen 
A: 	oké dit zijn weer de de kegel van het roer en de blokkentoar aan de rechterkant 
B: 	zijn B 
B: 	het roer 
A: 	ja 
A: 	waar staan die ? vier 
