B: 	ik hebben het wijnglas 
A: 	het wijnglas 
B: 	het staan op zo'n soort van standaard met een gedraaide 
A: 	met een driehoek onderaan 
B: 	ja 
A: 	ja bij mij zijn dat nummer vier 
A: 	ik hebben weer dat wijnglas wat je daarstraks zeggen 
B: 	ja 
B: 	waarom zien ik hem nou gewoon niet ? daar zijn die 
B: 	dat zijn A 
B: 	ik hebben het wijnglas 
A: 	nummer tien zijn dat bij mij 
A: 	ik hebben die wijnbeker 
B: 	oké 
B: 	dat zijn L 
B: 	ik hebben het wijnglas 
A: 	nummer vier 
A: 	ja 
A: 	sorry ik hebben de het wijnglas 
B: 	dat zijn F 
