B: 	nou ik zien een rood vierkant 
A: 	ja 
B: 	en ik zien een ovaalvormig ding op het kop 
A: 	op het plat kop daarboven 
B: 	ja 
A: 	ovaal 
B: 	en daar achter zitten zien je één ja een cirkel maar dan voor de helft 
A: 	even kijken 
A: 	een ovaal kop zijn dat een soort zijn dat aan de rechterkant 
B: 	ja 
A: 	en aan de linkerkant hebben je een half cirkel 
B: 	en dan zitten er aan de linkerkant ook nog een soort van paal 
A: 	ja precies die opsteken helemaal naar links uit 
B: 	ja 
B: 	ja 
A: 	oké ik hebben hem nummer zestien 
A: 	bij mij 
B: 	oké 
A: 	oké 
A: 	aan de bovenkant zitten er een plat cirkel en die zien je eigenlijk maar voor de helft 
A: 	die zitten aan de linkerkant op de op het kop laten maar zeggen 
A: 	en aan de rechterkant van het kop zitten één ja soort ovaal vormp 
B: 	ja en aan de linkerkant ook weer zo'n soort paaltje 
A: 	ja 
A: 	die steken inderdaad uit 
B: 	dan zijn het I 
A: 	top 
B: 	oké dit kop hebben een ovaal ovaal noemen ik het dan maar aan de rechterkant omhoog steken 
B: 	een half cirkel en een paal aan de linkerkant 
A: 	ja nummer vier 
A: 	oké dan hebben je het kop , aan de linkerkant hebben je een uitstulpsel , daarboven hebben je een plat cirkel die je maar voor de helft zien 
A: 	en een soort ovaal vormp 
B: 	ja dat zijn H 
B: 	oké deze hebben een een cirkel achter het kop want je zien maar de helft 
B: 	en nog een kegel ernaast 
B: 	en nog een staaf aan de linkerkant 
A: 	link 
A: 	ja nummer dertien 
A: 	aan de linkerkant bovenop het kop hebben je een plat cirkel die je maar voor de helft zien , en dan hebben je een soort ovaal vormp aan de rechterkant , en een staaf 
B: 	ja zijn E 
