A: 	oké deze hebben een piramide op zijn hoofd 
B: 	ja 
A: 	ja dat zijn eigenlijk het dat zijn het groot onderscheid tussen al die ander ding en dan zitten er nog van alles aan heel groot 
B: 	zitten daar echt zo'n heel random een soort alsof een kogel aan de ? ja 
A: 	ja 
A: 	precies die bijna erin zitten 
B: 	dat zijn J 
A: 	ja 
B: 	deze hebben een piramide op zijn hoofd en aan de linkerkant een kogel die er bijna doorheen gaan 
A: 	ja 
A: 	zes 
A: 	met de piramide bovenop 
B: 	ja en de kogel die er bijna doorheen gaan 
A: 	piramide en een kogel ja 
B: 	E 
B: 	dit zijn met de piramide boven en de kogel aan de linkerkant 
A: 	ja dat zijn tien 
A: 	rood 
A: 	de piramide 
B: 	piramide op het hoofd en kogel 
B: 	die er bijna doorheen gaan 
A: 	Soundsmack one's tien 
