B: 	ja precies 
B: 	hier zitten aan de voorkant zitten zo'n ja ik vinden het veel een eivormig ding 
A: 	aan de voorkant 
B: 	het zijn niet helemaal rond maar eivormig 
B: 	aan de voorkant van het kop 
A: 	ja 
B: 	aan de linkerkant zien ik een uitstekend driehoekpaal 
B: 	en bovenop zitten er een rechthoek en een soort van kegel 
A: 	even kijken bovenop een rechthoek 
A: 	en een kegel 
A: 	en je zeggen links zitten een soort driehoek , toch 
B: 	ja een driehoek die je als als paal eruit komen 
A: 	die iets uittrekken zijn 
A: 	ja en de ander oké 
A: 	dan nummer vijfteen 
B: 	oké 
A: 	oké 
A: 	een balle hebben je en die zitten eigenlijk aan de rechterkant 
A: 	en daar boven hebben je twee uitstulpel 
A: 	één met een soort rechthoekig vierkant helemaal recht omhoog 
A: 	en je hebben een ja hoe noemen je dat 
B: 	een kegel 
A: 	ja een kegel 
B: 	link 
A: 	ja 
A: 	top 
B: 	ja dat zijn A 
A: 	ja 
B: 	deze hebben een rechthoek midden op het kop omhoog en aan de linkerkant een kegel die naar boven gaan 
A: 	ja en dan met een bolle en een 
A: 	toch 
B: 	ja 
A: 	jij hebben ook , ja , nummer dertien 
B: 	ja 
A: 	hier hebben je een balle 
A: 	rechts in het midden van het kop 
A: 	daar boven hebben je een vierkant rechthoek dat helemaal uitsteken en een soort kegel 
B: 	dat zijn B 
B: 	deze hebben het rond aan de voorkant een rechthoek erop en nog een kegel ernaast 
A: 	even kijken rondje aan de voorkant 
A: 	rechthoek oké ja nummer vier 
A: 	oké recht staaf bovenop en een kegel op zijn kop 
A: 	met een rond aan de rechterkant en een 
B: 	ja dat zijn I 
