B: 	ok dit zijn weer zo'n kop en hij hebben een neus aan de rechterkant 
B: 	en bovenop hebben hij twee uitsteeksel de een zijn een rechthoek en de ander zijn een soort penne en dan links zitten er nog een driehoek 
A: 	ja en zo'n 
A: 	ja ok dat zijn veertien bij mij 
A: 	ja dit zijn weer met die neus met één rechthoek er bovenop en één zon ' raar met zo'n bolle en dan zo'n 
A: 	pijl met dat soort driehoek of zo'n v' aan de linkerkant die er uit opsteken 
B: 	ja 
B: 	ja 
B: 	ok dat zijn voor mij de N 
B: 	dit zijn met de neus en één rechthoek bovenop en één penne bovenop en een driehoek aan de zijkant 
A: 	ah ja ja 
A: 	dat zijn nummer negen 
A: 	dit zijn die met die neus en de rechthoek en een pen bovenop en zo'n driehoek aan de zijkant 
B: 	neus neus neus 
B: 	wat zeggen je nou rechthoek en pen ? die 
A: 	ja dus bovenop 
B: 	oke ja dat zijn voor mij de G 
B: 	dit zijn met die neus en dat rechthoek bovenop en de pen bovenop 
A: 	ja 
A: 	dat zijn nummer vijf 
A: 	dit zijn met die neus en een rechthoek bovenop met een penne bovenop en een driehoek aan de zijkant 
B: 	ja 
B: 	dat zijn voor mij J 
