B: 	dit lijken eigenlijk een klein beetje op een gezicht je hebben die beker en dan hebben je zo'n soort ovaal bol opsteken er rechts uit 
B: 	en hebben je vervolgens een vierkant dat zijn een rechthoekig staaf die zo recht omhoog gaan 
B: 	dan hebben je nog een driehoekig staaf die er links uitkomen 
A: 	zo'n soort v-tje zo 
B: 	ja het aandoen vooral aan een gezicht denken dus als je de de de emmer hebben dan hebben je zeggen maar een bal die rechts zo net eruit opsteken en dan die driehoekig staaf die komen er zeggen maar links uit zo 
A: 	ja ja ik denken dat ik het 
B: 	dan hebben je zeggen maar een bal die rechts zo net eruit opsteken en dan die driehoekig staaf die komen er zeggen maar links uit zo 
A: 	en zitten er twee ding bovenop 
B: 	ja 
A: 	ja okee twaalf 
B: 	okee 
B: 	dan mogen jij klikken denken ik ja 
A: 	dit hebben die ronde ovaal aan de aan de rechterkant dat bolle en dan aan de linkerkant dat ja dat gevouwen dinge 
B: 	dat gezicht om het maar even zo te zeggen 
A: 	ja ja ja 
B: 	ja a 
B: 	dit zijn zeggen maar dat een beetje op een gezicht lijken dus je hebben die emmer je hebben die bal dan hebben je twee ding boven en één link zitten 
A: 	ja 
A: 	elf 
B: 	ja 
A: 	dit zijn het gezicht 
B: 	even kijken 
A: 	met die twee ding bovenop 
B: 	ja ja ja 
B: 	j 
B: 	dit zijn het gezicht 
A: 	ja 
A: 	zoeken 
A: 	zestien 
A: 	dit zijn het gezicht 
B: 	even kijken 
B: 	e 
