A: 	ik vinden het lijken op een gieter 
A: 	maar dan een heel lelijk gieter je hebben gewoon dat bakkie en aan de een kant of ja aan beide kant steken een soort zeshoekig staaf uit en aan de een kant zijn die vrij kort aan de ander kant lang 
A: 	en dan aan beide uiteind zitten een bolle 
A: 	en dan bovenop zitten er nog een soort kleppie waar dan ook weer zo'n soort vierkant stok uit opsteken 
B: 	ja 
A: 	naar beneden 
B: 	letter K 
B: 	het zijn een bak 
B: 	hij hebben twee uitsteeksel hier die zeshoekig zijn 
B: 	aan het einde zitten een half cirkel half bollet zitten erop 
B: 	en achter hebben die nog zo'n platformp jij vinden het op een gek gieter lijken 
A: 	ja 
A: 	nummer negen 
A: 	dit zijn wat ik dus vinden lijken op die gieter met dus die twee zeshoekig dinget en één zijn iets lang en dan die twee bollet aan de uiteind daarvan 
B: 	ja 
B: 	ja 
A: 	en dan een klepje erop 
B: 	ja 
A: 	aan de zijkant 
B: 	dat hebben twee van die ding ja 
B: 	letter F 
B: 	jij vinden het op een gieter lijken 
B: 	met die drie met de zeshoek die eruit komen met zo'n klein bolle eraan 
A: 	yes 
A: 	nummer drie 
A: 	zeggen maar dat gieterdinge 
B: 	ja 
A: 	met die twee staaf waar de bollet aan zitten 
B: 	ja 
B: 	letter L 
B: 	de gieter 
A: 	nummer vijf 
