B: 	het zien er een beetje uit alsof er worden roren in het komme 
B: 	en het staan op een 
B: 	ja het hebben een soort van onderzetter iets en een steel als handvat 
B: 	en een cirkel die erachter tegenaan zijn plakken dus je zien de cirkel niet helemaal maar je weten wel dat daar een plat cirkel zitten 
A: 	ja er zitten een soort lepeltje in een mok cirkel achter links een handvat en een dinge onder 
B: 	ja 
A: 	okee 
A: 	en dan mogen ik drukken 
B: 	ja 
B: 	wachten je moeten volgens mij eerst de letter zeggen 
A: 	ja ik hebben nummer 
B: 	ja dan een nummer 
A: 	nummer twee 
A: 	en dan drukken 
B: 	nee op hier 
B: 	maken niet uit welk knop 
A: 	gewoon enter drukken of 
B: 	hebben je een toetsenbord 
A: 	nee gewoon één van die knop drukken 
B: 	ja 
A: 	ah okee 
A: 	deze hebben een roerstaafje erin zitten 
A: 	of laten maar zeggen een soort lepeltje 
A: 	en het beker bekendstaan zelf ook op een soort ja rechthoekachtig vormp hebben hij dus de onderzijde zijn niet helemaal zo cirkelvormig zoals bij de ander bekert maar dan staan hij op een soort rechthoek 
B: 	ja 
A: 	aan de linkerzijde hebben het een armp en daarachter lijken een soort cirkel vastgeplakken 
B: 	ja 
B: 	dan zijn het n 
B: 	dit zijn de beker waar ook waar de onderkant een beetje ander zijn 
B: 	een soort van plateau maar die er dan aan vastzitten 
B: 	een lepel erin 
B: 	staaf aan de linkerkant 
B: 	en een plat cirkel aan de rechterkant die je niet nee achter een beetje aan de linkerkant die je niet helemaal kunnen zien 
A: 	ja dat zijn nummer veertien 
A: 	met de afwijken onderzijde met een lepel erin 
A: 	een soort cirkel wat erachter zijn plakken en aan de linkerzijde nog een staaf 
B: 	ja 
B: 	dat zijn h 
B: 	even kijken met een ander onderkant een lepel erin 
B: 	een cirkel aan de achterkant aan de linkerzijde staan iets 
A: 	nummer zeven 
A: 	afwijken onderkant van het beker 
A: 	lepel erin 
B: 	ja 
A: 	cirkel achter 
B: 	ja dat zijn o 
A: 	en het 
