B: 	deze hebben een soort van bank aan de voorkant 
A: 	ja 
A: 	ja zo'n tafel zo'n bank ja 
B: 	zijn een 
B: 	zien je 
B: 	er zijn niet veel 
A: 	met nog zo'n klein sprie aan de achterkant 
B: 	ja 
B: 	ja en daar op dat bank zitten een het bak 
A: 	ja 
A: 	zo'n bak 
A: 	ja 
B: 	ja 
A: 	dat zijn twaalf 
A: 	dit zijn de een met dat met dat bank aan de voorkant 
B: 	even zoeken waar die zijn 
B: 	weten ik weten wel welk je bedoelen maar 
B: 	ah ja ja dat zijn dat zijn p 
B: 	deze zijn met dat bank 
B: 	bank en bakje aan de voorkant 
A: 	ja 
A: 	dat zijn vijf 
A: 	dit zijn met dat bank aan de voorkant met dat bak erop 
B: 	okee moeten ik even zoeken 
B: 	ah ja n 
B: 	dit zijn het bank 
A: 	ah het bank 
A: 	twee 
A: 	dit zijn met dat met dat bank ervoor 
B: 	ja 
A: 	tafel ervoor 
B: 	dat zijn g 
