B: 	ik hebben het kop en er lijken een soort bank bij te opzitten 
A: 	ja zo'n soort ik noemen het een bumper 
A: 	zo'n bumper om zich heen 
B: 	ja 
A: 	met een ook zo'n omgedraaide piramide erop 
B: 	ja met een 
A: 	oké 
A: 	dat zijn nummer zestien 
A: 	die met die bumper en die omgekeerd piramide 
B: 	ja dat zijn P 
B: 	ik hebben met dat bank die bumper 
A: 	met die bumper ja 
A: 	dat zijn nummer veertien 
A: 	die met die bumper en die omgekeerd piramide 
B: 	ja dat zijn N 
B: 	met de bumper 
A: 	met de bumper 
A: 	dat zijn nummer tien 
A: 	die met die bumper en die piramide 
A: 	omgekeeren 
B: 	ja 
B: 	dat zijn D 
