B: 	ik vinden het zelf iets op water lijken het zijn een komme hij staan op een plaat en er komen bollet uit de zijkant 
A: 	ja 
B: 	twee kant 
A: 	oké dan moeten ik het zeggen welk kunnen welk het zijn toch 
B: 	ja 
B: 	nummer en dan geel drukken 
A: 	dat zijn nummer vijf 
A: 	ik hebben beker aan de voorkant zitten een afgevlakt cirkel 
A: 	en hij zitten onderkant zitten een vierkant 
A: 	een soort van een soort van mok soort soort van hoe noemen je dat ? schotel 
A: 	vierkant schotel 
A: 	waar die op staat 
B: 	er komen punt uit de zijkant 
A: 	ja en daar hebben je er maar één van 
B: 	ja 
B: 	dan zijn het nummer J 
B: 	dit zijn het beker waar die stipjes uit komen 
A: 	ja 
B: 	en hij staan op een plaat 
A: 	oké 
A: 	dat zijn elf 
A: 	dat zijn er zitten een mokje op een vierkant een soort van op het hoe noemen je dat 
B: 	ja 
B: 	en er komen bollet uit 
A: 	ja aan de achterkant 
B: 	dat zijn P 
A: 	drie bollet 
A: 	oké jij zijn 
B: 	het kop met die drie bollet aan de zijkant 
A: 	ja 
A: 	dat zijn negen 
A: 	die met de de de vierhoekjes die aan de de mokje vastzitten met het tafel eronder het vierhoek eronder 
A: 	en een cirkel ervoor 
A: 	eigenlijk 
A: 	dus een mok 
B: 	ja 
A: 	en de plat cirkel ervoor 
B: 	ja en met die punt 
A: 	precies met die punt nou die liggen op een vierhoek 
B: 	ja 
B: 	ja 
B: 	dat zijn de L 
A: 	want hoe noemen je die ? noemen je dat een tafel of zo of een 
B: 	ja 
B: 	een plateau 
A: 	dat zijn een een kort woord 
B: 	vierkant 
A: 	ja het kunnen 
