A: 	oké 
A: 	aan de bovenkant van het soort kop zitten een heel klein soort pluimp die steken naar links die wijzen naar links 
A: 	en rechts van het kop zijn een balle en door het balle zijn eigenlijk een soort ja staafje steken 
A: 	en rechts van het staaf zijn een plat rond 
A: 	hebben je een beetje idee wat ik 
B: 	ja en bedoelen je met een pluimp alsof het ook een soort van lepeltje kunnen zijn 
A: 	ja echt zo'n klein klein pluimp die 
B: 	ja dan weten ik wat het zijn , dan zijn het H 
A: 	oké 
B: 	dan weten je dus wat ik bedoelen met de vorig 
A: 	dat ja 
A: 	oké 
B: 	dit zijn het kop met ja het lepeltje zegmaar 
B: 	met aan de voorkant een bolle 
B: 	met een paal er doorheen en aan de zijkant daarvan weer zo'n plat cirkel 
A: 	even kijken dat zeggen je plat cirkel aan de zijkant 
B: 	ja 
A: 	zijn dat rechts 
B: 	ja 
A: 	en dan links hebben je zo'n met zo'n heel uitsteeksel naar boven 
A: 	of zijn dat weer een ander 
B: 	nee 
B: 	het zijn het het ei zitten aan de voorkant van het kop 
A: 	ja 
B: 	daar gaan een paal doorheen 
B: 	en aan de rechterkant zitten een plat cirkel 
A: 	en 
A: 	ja 
A: 	ik hebben hem , nummer veertien 
B: 	oké 
A: 	deze hebben een ook zo'n balle en daardoor steken een staaf en aan de rechterkant van die staaf zitten een plat cirkel 
B: 	ja dat zijn L 
B: 	oké deze hebben dat lepeltje , en aan de voorkant een rond met een paal en een plat cirkel 
A: 	even kijken wat zeggen je , lepel 
A: 	een paal en een plat cirkel zeggen je 
B: 	ja 
A: 	en waar zitten die precies 
B: 	dus het rond zitten aan de voorkant , die gaan een paal doorheen en daar zitten weer zo'n plat cirkel aan 
A: 	die 
A: 	ja precies nummer drie 
B: 	het zijn ook de enig met zo'n lepel eigenlijk 
A: 	dat noemen je een lepeltje , dat in het kop zitten bedoelen je 
B: 	of ja of 
B: 	ja 
A: 	ah oké nummer drie 
A: 	oké met dat lepel voor jou en dat balle waar dat staaf doorheen gaan en waar 
B: 	dat zijn P 
B: 	het lepel met de bal ervoor en de paal en de plat cirkel 
A: 	even kijken waar die staan 
A: 	ja nummer zes 
