B: 	oké dit vinden ik een soort van standbeeld 
B: 	hij hebben onderaan een poot dan een stuk tussen het lichaam en 
B: 	die poot en dan bovenaan hebben die in het midden een blok rechts een blok en link een soort armp 
A: 	ja 
A: 	oké dan zijn het nummer vier 
B: 	ja 
A: 	dit zijn die jij toen hebben met dat soort standbeeld op dat plateau en dan één zo'n ding 
B: 	oké ja 
B: 	ja 
B: 	het zijn A 
B: 	het standbeeld 
A: 	ja 
A: 	nummer tien 
A: 	dit zijn dat standbeeld 
B: 	ja L 
A: 	oké jammer 
B: 	het standbeeld 
A: 	even kijken waar die zijn 
A: 	ja nummer vier 
A: 	het standbeeld 
B: 	waar staan die 
B: 	ja F 
