B: 	oké deze hebben dat zijn die emmer met maar dan vier uitsteeksel waarvan één zo'n ei zijn of zo'n bal 
B: 	en dan aan de linkerkant zitten een driehoek dat uitsteken boven 
A: 	ja zo'n Vgootje zeggen maar 
B: 	ja ja zoiets 
B: 	aan de bovenkant zitten een kegel en één en en een rechthoek 
A: 	ja precies 
A: 	ja dat zijn veertien 
A: 	ja dit zijn die met met dat ei aan de voorkant en dan die V goot zeggen maar aan de linkerzijkant 
B: 	en dan daarbovenop 
B: 	ja 
A: 	en aan de achterkant weer die rechthoek met met die ander raar vorm ernaast 
B: 	ja 
B: 	dat zijn N 
B: 	dit zijn die met die ei 
B: 	eigenlijk die vier uitsteeksel dat ei voorop en dan 
B: 	dat dat driehoekig ding aan de linkerkant en die kegel bovenop en dat blok 
A: 	ja 
A: 	ja ja ja precies negen 
A: 	ja dit zijn dat ei voor en dat de V dat V Vgootje aan de zijkant en dan 
B: 	ja 
B: 	ja ja 
B: 	G 
B: 	dit zijn ei en dat dat dat V V'tje en die kegel en dat balk 
A: 	dat ei dat V'tje en dat 
B: 	die kegel en dat balk 
B: 	balk bovenop 
A: 	ja die V aan de zijkant zo 
B: 	ja 
B: 	ja precies 
A: 	vijf 
A: 	ja dit zijn die dat ei aan de voorkant die V aan de zijkant 
B: 	ja 
A: 	en dan boven die rechthoek en dat 
B: 	ja dat zijn J 
