B: 	ik hebben er nou degeen die ook weer met een plank zijn doorsneden alleen dan boven het midden 
B: 	met twee van die flubbeltjes aan de plank ook nog 
A: 	ja en er staan zo'n soort bak op of zo 
B: 	ja 
A: 	ja 
A: 	zestien 
A: 	one volgens mij hebben jij die omschrijven ik ik hebben het omschrijven als de ja dat bak staan erop zeggen maar je hebben toch zo'n gek 
A: 	houten plankhouder zeggen maar met aan de zijkant twee van die poo 
B: 	ja 
B: 	ja 
B: 	met de poo de plank ja 
A: 	ja ik ik noemen dat altijd de plankhouder of zo 
A: 	jij moeten hem doen ja 
B: 	P 
B: 	dit zijn met het bak bovenop die plank die erdoorheen gaan 
A: 	bak bovenop die plank die erdoorheen gaan en 
B: 	met die flubbeltjes aan de plank 
A: 	ja ja ja ja ja hoe doen ja bakje of plankhouder of zo noemen we die gewoon voortaan ja 
B: 	ja plankhouder zijn goed plankhouder 
A: 	ja prima plankhouder veertien 
A: 	de boekenplank of bakjeshouderplank of weten je nog welk ik bedoelen 
B: 	met die met die met poo aan de 
A: 	ja ja ja ja 
A: 	het zijn gewoon zo'n recht hoek zeggen maar met twee poot inderdaad en daarbovenop staan een soort bak 
B: 	ja 
A: 	ja 
B: 	ja 
B: 	N 
B: 	dit zijn de plank met het schaalt boven op de plank 
B: 	die door het kop heen gaan 
A: 	ja 
A: 	dat zijn tien 
A: 	de of nou de bakjeshouderplank 
B: 	ja ja 
B: 	d 
