B: 	ja dit doen mij eigenlijk denken aan een man met een verrekijker en een antenne op zijn hoofd 
A: 	o ja ja ik vinden het vooral een robot maar 
B: 	ja kloppen ja ja*laughlaughlaugh*dat zijn inderdaad dat 
A: 	op zich verrenkijk ja bij mij zijn dat twee 
B: 	ok bij mij B 
A: 	ok 
A: 	dit zijn de man met de verrekijker of de robot 
B: 	o die die even kijken waar die staan hier G 
A: 	ja dertien 
B: 	ok 
B: 	o dit zijn dat robot dinge met verrekijker en die antenne 
A: 	o ja dat zijn negen bij mij 
B: 	ja 
B: 	ok bij mij B 
A: 	dit zijn de robot verrekijker 
B: 	o die D 
A: 	zeven 
B: 	ja 
B: 	o dit zijn de robot met de verrekijker en dan antenne 
A: 	ja zijn één bij mij 
B: 	ok bij mij P 
A: 	dit zijn de robot verrekijker 
B: 	o hier B 
B: 	ja welk ja ik weten niet of dat cijfer ok 
A: 	ja negen ja 
