B: 	goed 
B: 	oké dit zijn een soort robot weten je een beetje soort WALLE 
B: 	hebben twee van die armp en een antenne op zijn hoofd 
B: 	en een plaat aan de zijkant 
A: 	ja 
A: 	dat zijn nummer twee 
A: 	dit zijn jou robot 
A: 	met zijn armp en zijn 
B: 	ja 
B: 	dat zijn G 
B: 	WALLE 
B: 	de robot 
A: 	even zoeken hoor 
A: 	nummer negen 
A: 	en dit zijn het robo 
B: 	ah 
B: 	d 
B: 	WALLE 
B: 	de robot 
A: 	kijken waar die staan 
A: 	ja nummer één 
A: 	dit zijn WALLE 
B: 	WALLE waar zijn je ? B 
