A: 	nou we hebben weer de hoofdvorm en dan hebben je een staaf die steken direct uit aan de voorkant van de hoofdvorm 
A: 	dan hebben je ook een soort vinne wat aan onderkant van die hoofdvorm zitten 
A: 	en aan de achterkant van de hoofdvorm hebben je een ruit en die hebben twee uitsteeksel 
B: 	ja ik hebben hem 
A: 	ja 
B: 	dat zijn p 
B: 	p 
B: 	hier hebben je de hoofdvorm en daar aan de zijkant lijken het het lijken net het lijken op een kraan een beetje aan de zijkant komen zo zo'n stuk eruit 
B: 	ik bedoelen aan de onderkant 
B: 	aan de zijkant zijn een opsteken de staaf uit en ook een vierkant met een boog 
B: 	dan bovenop hebben je een vierkant plateau maar dan niet zo maar zo 
B: 	staan hij schuin erin 
B: 	en daartus tussen dat vierkant plateau rechts en links zijn van die vierkant die klein worden 
A: 	ja 
A: 	en dan aan de onderkant hebben je zo'n vinne die uitsteken 
B: 	ja lijken een beetje als het zijn op een kraan 
A: 	ja 
A: 	ja 
A: 	nummer zestien 
A: 	dit zijn die hoofdvorm waarbij er een soort van kraantje onderaan zijn maken en 
B: 	ja a 
A: 	ja 
B: 	dit zijn de hoofdvorm dat het vierkant plateau in de hoofdvorm bovenop staan soort van schuin 
B: 	en daar komen aan de rechterkant en linkerkant van die vierkant die klein worden uit 
B: 	die zitten aan aan de vierkant plateau dat zo schuin erin staat vastgeplakken 
B: 	het lijken eigenlijk die op de kraan 
A: 	dat dat kraan eronder 
B: 	beetje 
B: 	ja kraan eronder 
B: 	en dan rechts een staaf 
A: 	ja een soort van neus 
B: 	twee van die 
B: 	ja 
A: 	okee nummer twaalf 
A: 	dit zijn de hoofdvorm met het kraan eronder 
B: 	ja 
B: 	c 
B: 	deze hoofdvorm zijn het kraan 
A: 	ja 
A: 	even zoeken 
A: 	nummer drie 
