A: 	ja 
B: 	oké dit zijn het plaat waar het vierkant vlak eigenlijk halverwege dat ding zitten 
A: 	dat ei 
A: 	ja precies dat zijn zes 
B: 	ja 
A: 	ik moeten dan drukken hè ? ja 
B: 	ja 
A: 	ja dit zijn dit zijn dat die emmer met dat ja met dat vierkant plateau zeggen maar in het midden en dan 
B: 	halverwege of aan de of erop 
A: 	ja halverwege 
A: 	en dan zitten aan de voorkant zitten zo'n buis 
B: 	ja 
A: 	en op de bovenkant staan twee zo'n 
B: 	ja 
B: 	dat zijn C 
B: 	dit zijn vierkant vlak halverwege en dan die buis 
A: 	even zoeken 
B: 	en de en de twee en die twee ding bovenop 
A: 	en de buis aan de 
A: 	ja dat zijn dertien 
A: 	dit zijn die emmer met dat vierkant halverwege zeggen maar in het midden en dan die 
B: 	zo of zo 
A: 	ja zeggen maar die je hebben die emmer gewoon en dan hebben je dat ja dat vierkant plateau wat er gewoon dwars doorheen staan zeggen maar 
B: 	ja 
B: 	ja 
B: 	en dan en dan die buis 
A: 	en dan die buis aan de voorkant en 
B: 	en en die en die en die twee dinget bovenop 
A: 	ja precies die 
B: 	J 
B: 	dat zijn J 
B: 	gaan toch snel zo 
A: 	ja precies 
B: 	ik hebben vierkant in het midden en dan die buis voorop en die twee staaf Erboven 
A: 	wachten 
A: 	vierkant en die buis en die twee 
A: 	negen 
A: 	ja dit zijn die emmer met dat plateau in het midden zeggen maar 
B: 	ja 
A: 	en die buis aan de voorkant 
B: 	ja 
A: 	en die twee dinget bovenop 
B: 	ja dat zijn N 
