B: 	one's het plaat hebben een rond schijf aan de achterkant 
B: 	en een soort stuk van een kegel bovenkant uitsteken 
B: 	en aan de linkerkant een soort zeshoek 
A: 	oké 
A: 	en aan de onderkant hebben die nog een soort van ding 
B: 	ja 
B: 	ja 
A: 	een 
A: 	ja 
B: 	ja 
B: 	dat 
A: 	oké 
A: 	oké 
A: 	ja ik denken dat ik hem hebben 
A: 	die cirkel die zien je zeggen maar half zo aan de achterkant plakken 
B: 	ja kloppen 
A: 	ja 
A: 	oké 
A: 	oké 
A: 	deze hebben we ook net al hebben die hebben zeggen maar dat ding zo eronderaan en dat pluimpje rechtsboven uitsteken en die 
A: 	schijf aan de achterkant links tegenaan plakken en die zeshoek link uitsteken 
B: 	ja 
B: 	een schijf die je zo half zien en dat dinge zo aan de onderkant 
A: 	ja 
B: 	die bedoelen je 
B: 	ja 
B: 	oké dat zijn O 
B: 	dit zijn die met een uitsteeksel aan de bovenkant en een schijf die je half zien aan de achterkant 
A: 	ja 
B: 	en dan links een soort zeshoek die uitsteken en onderaan weer dat ja halfron 
A: 	ding zo 
B: 	ja 
A: 	doen me een beetje denken aan een keukenmachine of zo 
B: 	ja daar lijken het wel een beetje op inderdaad 
A: 	ja ? oké 
A: 	dit zijn zeggen maar die keukenmachine 
B: 	ja 
A: 	met rechts dat pluimp en links aan de zijkant steken die zeshoek uit en 
A: 	link aan de achterkant zijn die schijf tegenaan plakken en onderaan zitten dat ding zeggen maar 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij C 
B: 	dit zijn die keukenmachine 
A: 	even zoeken 
A: 	ja 
A: 	met dat dinge onderaan 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer zeven 
A: 	dit zijn zeggen maar die keukenmachine 
B: 	ja 
A: 	met dat ding daaronder en die schijf aan de achterkant plakken 
B: 	ja 
B: 	dat zijn bij mij C 
B: 	hallo 
