A: 	okan ja deze hebben aan de zijkant eigenlijk gewoon een balk die eigenlijk door het glaas heen lopen zeggen maar 
A: 	en aan het uiteinde van allebei die kant hebben het weer een rond 
A: 	aan de achterkant zitten een ja soort vierkant ja ik moeten er een beetje aan denken dat als je het zo naar voren kiepen dat er dan water uit komen 
B: 	hebben het aan de voorkant een vierkant vlak 
A: 	aan het voorkant hebben het niks 
B: 	o hij hebben hebben hij aan de achterkant een vlak 
A: 	ja alleen die staan eigenlijk zo een beetje schuin omhoog 
B: 	o lijken het ook een beetje op een gieter of zo misschien 
A: 	ja maar het hebben dus aan de voorkant helemaal niks 
B: 	nee 
A: 	ok 
B: 	hij hebben zeggen maar links een klein stuk eruit en rechts nog iets veel 
A: 	ja 
B: 	ook dan zijn het K 
B: 	okan ja dit zijn de gieter met dat vlak dat je zo kunnen omklappen of zo 
A: 	ja ok en waar het aan twee kant een ding hebben met een rond aan het uiteinde ok dat zijn negen 
B: 	ja 
B: 	ja 
A: 	ja dit zijn het degeen met dat vlak schuin wat je eigenlijk zeggen maar beetje kunnen klappen en wat aan de zijkant twee 
B: 	ja dat zijn F 
B: 	ja dit zijn die gieter met dat vierkantje die ja kunnen klappen 
A: 	ja dat zijn drie 
A: 	ja dit zijn met dat vierkant schuin wat je eigenlijk een beetje kunnen klappen of zo en 
B: 	ja 
B: 	dat zijn L 
B: 	ja dit zijn de gieter 
A: 	zijn toch met de ook met waar die op staan toch 
B: 	met dat ding dat je kunnen klappen 
A: 	ja dat zijn vijf 
