A: 	oké ja dit zijn een een een kop waarbij er een soort van haak onder zitten 
A: 	een haak aan de zijkant een soort Pinokkioneus naar voren zo'n 
B: 	ah ja ik weten welk je bedoelen 
B: 	M 
B: 	ik vinden dit een beetje een kraan met een wasbak 
B: 	er zitten een soort van afvoer onder en aan de zijkant het zijn twee dezelfde ding er zitten een soort van potlood die er vooruit uit opsteken 
A: 	ja en dan zitten er nog een een een vierkant achter waar ook weer iets uit komen 
B: 	ja 
A: 	ja 
A: 	dat zijn negen 
A: 	dit zijn die one's raar die zo'n hengsel van onder hebben van de zijkant en die hebben dan van achter hebben die een vierkant waar ook weer iets doorheen zitten 
B: 	ja dat vinden ik wasbak met een kraan ja 
A: 	ja ja dat ja ik ik zien hem 
B: 	H 
B: 	ja dit zijn weer die waar ik zeggen een wasbak met een kraan 
A: 	even kijken ja ja ja ja 
B: 	met een potlood aan de voorkant 
A: 	ja met dat vierkant waar ook weer dan wat in zitten achterin ja 
B: 	ja 
A: 	elf 
A: 	dit zijn degeen met het vierkant achter met waar waar weer wat doorheen zitten en 
A: 	zeggen maar het potlood van voor en het haak beneden en het haak hier aan de rechterkant 
A: 	een beetje een wasbak volgens mij 
B: 	ja D 
B: 	ik moeten hem even zoeken 
B: 	ja de de soort van wasbak met het vierkant dat eruit opsteken aan de bovenkant 
A: 	ja veertien 
