A: 	oké 
A: 	dit figuur dat hebben een soort van klein een bellet of een haarplukje aan de bovenkant 
A: 	en aan de voorkant zitten er een één dat zijn misschien een makkelijkst omschrijving een balle met een balk erdoorheen 
B: 	zo'n soort hamerachtig dinge 
A: 	ja 
B: 	ja 
B: 	dat zijn F 
B: 	oké 
B: 	deze dat het het hamer zeggen maar 
B: 	ik weten niet of je hem dan snpen maar bolle en dan lijken het er gaan een staaf doorheen 
A: 	ja met één met een toet erbovenop of een één 
B: 	en 
B: 	ja precies 
A: 	ja 
B: 	ja 
A: 	dat zijn nummer vijf 
A: 	deze ja dat hamer met dat bolle erdoor het bolle zitten aan de voorkant 
A: 	er zitten een staaf door het lijken wel alsof die vastzitten aan de muur 
B: 	ja 
A: 	met een nog zo'n klein dinge erbovenop 
B: 	klein dinge Erboven dat zijn A 
A: 	ja 
B: 	dit zijn ja het hamer zeggen maar met het druppelt pluk bovenop 
A: 	ja dat zijn nummer vijf 
A: 	dit zijn diegene met dat balle rechtsvoor waar dat staaf door zitten 
B: 	ja 
A: 	met het klein toe erbovenop 
B: 	ja dat zijn H 
B: 	het hamer 
B: 	zeggen maar met het druppelt bovenop 
A: 	even kijken waar die zitten 
A: 	ja dat zijn nummer vijftien 
