A: 	deze deze hebben hiervoor even kijken deze hebben je hebben die die weten je wel dat dat hoofdfiguur zeggen maar daar daar die emmer zeggen maar 
B: 	ja 
B: 	ja emmer in het zijn ook een emmer 
A: 	en dan ja 
A: 	en dan daarvoor staan daar zo'n rechthoekig staaf zo verticaal 
B: 	ja en een bal bovenop 
A: 	ja zo'n bal bovenop en dan 
B: 	en dan twee van die haak 
A: 	ja ja die ja 
B: 	ja dat hebben ik dan zijn het D 
A: 	oké 
B: 	deze hebben aan de voorkant een een een balk en bovenop een ei 
A: 	even 
A: 	even kijken 
B: 	aan de voorkant een balk zo 
A: 	zo rechtop 
B: 	ja rechtop en dan daarbovenop zitten zo'n zo'n ei of zo'n bal en aan de buitenkant zitten van die van die haak van die armpjes 
A: 	ja van die ronde 
B: 	ja kloppen 
A: 	ja 
A: 	één met zo'n hoek en de ander niet 
B: 	ja kloppen ja 
A: 	ja één zo in de hoek ja 
A: 	dat zijn vijftien 
A: 	ja dit zijn die met die recht staaf die ervoor staan en dat ei bovenop en dat 
B: 	ja 
B: 	L 
B: 	dit zijn de staaf aan de voorkant en die bal bovenop 
A: 	die verticaal staaf en die bal 
B: 	ja 
B: 	ja 
A: 	zes 
A: 	dit zijn die rechthoekig staaf aan de voorkant 
B: 	ja 
A: 	en dat ei bovenop 
B: 	ja J 
B: 	dit zijn de staaf aan de voorkant en de bal bovenop 
A: 	ja drie 
