B: 	hij staan op een soort van ovaal ding met een rond schijf erachter 
A: 	of 
B: 	afhangen erachter 
B: 	en er opsteken één ja een rond ding links uit 
B: 	en een soort van lepel Erbovenin staan 
A: 	lepel Erbovenin 
A: 	ja en en dat ovaal ding dat zitten dan door dat rond heen 
B: 	ja precies 
A: 	ja dan moeten ik het nu gewoon zeggen toch 
B: 	ja 
A: 	één 
A: 	ja deze zijn één van degeen die het weinig opvallen het zijn een kop met een soort er zitten nog iets onder een soort van houder of zo er zitten aan de linkerkant 
B: 	oeh zijn verschuiven 
A: 	komen er nog iets van een een een schroef of een potlood of zo uit en hij hebben aan de achterkant een rond en daarboven hebben hij ook nog zo'n friebel 
A: 	kunnen je daar wat mee 
B: 	zijn het er één die we al hebben hebben toevallig 
A: 	hij zijn misschien wel maar hij zijn in ieder geval de enig die ook wat aan de onderkant hebben in plaats van een bord of zo zijn het echt gewoon een soort van houder 
B: 	dat ovaal ding weer waar die op staan of zijn dat weer een ander 
A: 	ja ja een soort houdert zijn het inderdaad en dan hebben die aan dus aan de 
B: 	linkerkant een soort van potlood en een soort van lepeltje erin 
A: 	potlood eruit 
A: 	ja ja 
B: 	ja 
B: 	O 
B: 	dit zijn weer met dat potlood dat eruit steken een rond schijf aan de achterkant en hij staan weer op zo'n oor ovaal ding 
A: 	even kijken 
B: 	dat zijn de enig waar dat ovaal ding doorheen opsteken 
A: 	ja precies ja dat zijn acht 
B: 	ja 
A: 	dit zijn die een met dat potlood aan de rechterkant 
A: 	hij zitten op dat ja op dat houder en nog een lepeltje boven en een cirkel aan de achterkant 
B: 	potlood aan de linkerkant 
A: 	ja 
B: 	ja 
B: 	C 
B: 	ja dit zijn weer dat ding dat op zo'n ding staan met een potlood links en een rond schijf achter 
A: 	ja even kijken waar die ah daar zijn die 
B: 	en een lepel erin 
A: 	dit zijn zeven 
A: 	dit zijn die in het houdert zitten een potlood aan de linkerkant en ja bord en een lepeltje 
B: 	ja 
B: 	C 
A: 	bedanken voor u 
B: 	oké 
A: 	helemaal goed 
