B: 	dat gaan best wel soepel 
A: 	yes 
B: 	oké maar nu hebben ik weer een vierkantje 
B: 	nu hebben ik ja hoe noemen je dat ? dat bekert zeggen maar en er zitten halverwege zo'n vierkant plaat doorheen 
A: 	oehlen ja die zijn 
B: 	dat zijn er maar één toch die dat hebben 
A: 	ja 
B: 	en er zitten zo twee van die poo in 
A: 	die dus die zitten iets hoog dan dan halverwege zitten die 
B: 	ja dus hij staat niet op die plaat maar er er staan een plaat zeggen maar horizontaal en daar zitten die soort van half zo in 
A: 	zitten dat zitten die plaat 
A: 	ja en er liggen ook een bak op zeggen maar 
A: 	op die plaat 
B: 	ja 
A: 	oké 
B: 	ja 
A: 	dan zijn het voor mij 
B: 	dan denken ik dat we dezelfde hebben 
A: 	ja toch 
B: 	ja 
A: 	hij hebben die die die plaat hebben zeggen maar twee poot en een bak erop 
B: 	nee dat zijn zeggen maar een ik denken dat jij een ander in je hoofd hebben 
B: 	deze hebben ook zo'n plaat maar hij zijn zeggen maar helemaal vierkant en daar zitten die die zitten laag op dat ding 
A: 	ja 
A: 	laag dan het gemiddeld van het kop zeggen maar 
B: 	ja 
B: 	ja 
B: 	echt wel zeggen maar onderste één drie ongeveer en dan zitten er twee van die piefjes die er zo uit steken 
A: 	ja 
A: 	oké dan weten ik hem 
A: 	ja kloppen 
B: 	ja 
A: 	oké super 
A: 	dat zijn dan voor mij nummer zes 
A: 	dit zijn de de de de de ballerina 
A: 	dus die hebben zo'n rok zeggen maar halverwege zijn de plank 
B: 	oké ja dat zijn ja en dan met die twee uitsteekselt 
A: 	de twee uitsteekselt ja 
B: 	ja 
B: 	oké dat zijn C 
B: 	oké dit zijn die met ja die ballerina dat je net zeggen met dat dat plateau zo onderin en dan die twee antennet 
A: 	ja 
A: 	ah daar staan ze 
A: 	ik noemen ook ze 
B: 	ze 
A: 	nummer dertien 
A: 	erg 
A: 	ik hebben de ballerina 
B: 	oké even kijken waar die zijn J 
B: 	ja bij mij niet dus dan zijn dat rood 
B: 	dit zijn die ballerina 
A: 	ja nummer negen 
A: 	de ballerina zijn die van jou 
B: 	die zijn bij mij N 
