B: 	oké 
A: 	ja deze lijken op een eend van de zijkant hij hebben rechts twee gelijk blok aan de bovenkant een trapezium 
B: 	ja 
A: 	en dan ja link nog een uitsteeksel en onder ook nog 
B: 	en onder 
B: 	ja 
B: 	dat zijn voor mij de letter I 
B: 	even kijken deze hebben zo'n mooi trapezium als je net zeggen aan de bovenkant en rechts 
B: 	twee uitstekend balk van dezelfde grootte en dikte 
B: 	en aan de onderkant een haak die naar links wijzen 
A: 	ja ik weten welk je bedoelen 
A: 	yeslen ik hebben hem 
A: 	dat zijn twee voor mij 
A: 	dit zijn die met de trapezium aan de bovenkant en twee gelijk rechts 
B: 	even kijken ja het haak aan de onderkant dus dat zijn voor mij M 
B: 	dit zijn de trapezium bovenop met de twee uitstekend rechthoek aan de rechterkant 
A: 	yes 
A: 	dat zijn negen voor mij 
A: 	dit zijn die naast die doorboren neus met de trapezium en de twee ding aan de zijkant 
B: 	even kijken dat zijn F voor mij 
B: 	trapezium met de twee uitstekeltjes uitsteeksel rechts 
A: 	ja 
A: 	dat zijn zes voor mij 
