A: 	yes 
A: 	nou deze hebben een heel apart vorm aan de bovenkant zitten 
A: 	het zijn een soort van one ja wachten aan de onderkant zitten in ieder geval een een soort een buigen 
A: 	een buigen vorm 
B: 	zijn het 
A: 	die zeggen maar naar naar ons toe buigen 
A: 	aan de linkerkant of er zitten aan de voorkant zitten een soort van ja een cilinder die uitsteken of een soort van neus of zo 
A: 	en aan de linkerkant ook een buigen arm 
A: 	en ja ik zullen het bijna omschrijven als een strik of zo wat achterop boven op het hoofd zitten 
A: 	of nou ja 
B: 	ja 
B: 	ja dat zijn die met de ruit 
A: 	ja ja het zijn inderdaad een ruit twee ruit eigenlijk die tegen mekaar aan zitten zo 
B: 	met met de ruitvorm 
B: 	zijn het M 
A: 	ja of ja 
B: 	ja het zijn M 
B: 	dit zijn weer die een met de met die rui die strik aan de achterkant 
B: 	en dan met die twee armp 
B: 	die 
B: 	en die L en dat Lvormig uitsteeksel aan de onderkant 
A: 	even kijken twee twee armp zeggen je of 
B: 	hij doen een beetje dit 
B: 	zo interpreteren ik het een beetje 
B: 	maar de de strik om het zo te zeggen 
A: 	ja oké dit zijn de de strik ja dat zijn wel dus dat zijn negen voor mij 
B: 	de ruit 
B: 	oké 
A: 	oké dit zijn die een met de strik weer 
A: 	en de ja 
B: 	ja 
B: 	zijn H 
A: 	yes 
A: 	ja ja 
B: 	het zijn de strik 
A: 	oké 
A: 	dat zijn elf 
A: 	de dit zijn de strik weer 
B: 	de strik 
A: 	yes 
B: 	en die staan D 
B: 	het zijn een strik 
A: 	oké veertien 
