A: 	bij mij ook 
A: 	deze mok hebben een heel een heel groot uitsteeksel aan de links kant dus eerst zitten er een soort van balk uit en dan opsteken er zo'n ik vinden het een pylon op zijn kop 
B: 	ja een een een een soort beiteldinge 
A: 	die staan erbovenop en dan nog een 
A: 	ja 
B: 	ja 
A: 	en dan nog een recht aan de rechterkant een muntstuk wat er een beetje zo uit opsteken 
B: 	een muntstuk op zo'n een soort van dienblad zoals wat je serveren 
A: 	ja 
A: 	ja 
B: 	ja 
A: 	ja 
B: 	dat zijn bij mij L 
B: 	dit zijn de mok met heel veel uitsteeksel die hebben aan de rechterkant het dienblad 
B: 	en aan de linkerkant hebben die de beitel die met het die bezig zijn met het armp 
A: 	ja die pylon op zijn kop 
B: 	die pylon ja 
A: 	ja nummer zeven 
B: 	ja 
A: 	deze zijn met die pylon op zijn kop 
A: 	die op dat armp steunen en het dienblad 
B: 	ja dat zijn bij mij C 
B: 	dit zijn die met het dienblad 
B: 	en de pylon 
A: 	ja 
A: 	met het dienblad en die pylon dat zijn nummer één 
A: 	dit zijn het dienblad met die pylon omgekeerd 
B: 	ja 
B: 	dat zijn bij mij A 
A: 	top 
B: 	die met het dienblad 
B: 	die staan bij mij van de figuur die we net hebben staan die er precies iets boven 
B: 	rechts iets boven 
A: 	ja met die pylon 
B: 	ja 
A: 	ja 
A: 	dertien 
