A: 	okee even kijken je hebben het kopvormpje 
A: 	bovenaan zitten een redelijk groot druppelvorm 
B: 	ja 
A: 	dan zitten er link beetje naar voren steken nog zo'n druppelvorm 
A: 	en aan de rechterzijkant daar zitten een toren van drie à vier van die blok op elkaar stapelen 
B: 	ja 
B: 	en dan links zitten er nog een klein dinge toch 
A: 	en link zitten er nog één ja wurmpje 
B: 	ja 
B: 	letter l 
B: 	dit zijn diegene met twee druppelvor erin één aan de bovenkant en één die er aan de voorkant in gaan 
B: 	waar ook nog aan de rechterkant een blokkentoren in zitten 
A: 	en dan aan de linkerkant zitten zo'n vreemd boog 
B: 	nog een dinge inderdaad ja 
A: 	ja 
A: 	tien 
B: 	ja 
A: 	dit zijn die met de druppelvorm bovenop en dan de druppelvorm links 
B: 	ja 
A: 	met aan de rechterkant de blokkentoar 
B: 	ja 
B: 	met nog een klein gek dinge aan de linkerkant 
A: 	ja 
B: 	ja 
B: 	l 
B: 	dit zijn degeen met de twee druppelvormen één aan de bovenkant en één aan de linkerkant 
B: 	en met de blokkentoar aan de rechterkant 
A: 	ja en het klein friemel 
B: 	ja 
A: 	ja twee 
A: 	dit zijn die met de twee druppelvor één Erboven één aan de linkerkant en de blokkentoar rechts 
B: 	ja 
B: 	yes n 
A: 	yes 
B: 	dit zijn degeen met twee druppel dus één bovenin één link erin en de blokkentoar rechts 
A: 	even kijken 
A: 	ja elf 
