B: 	deze lijken eigenlijk een soort bank wat eraan zitten 
B: 	of een soort duikplank 
B: 	want het zijn een een vlak iets met twee van die poo eraan 
A: 	ah 
A: 	ja 
B: 	en daarbovenop zitten nog een soort springplankachtig iets 
A: 	ja dus echt gewoon zo'n rechthoek tafelachtig maar dan helemaal aan het bovenste van het mokje dan wat jij toen zeggen 
B: 	ja 
B: 	ja 
B: 	ja kloppen 
A: 	oké dan zijn het nummer zestien 
A: 	dat zijn die een met dat tafel eigenlijk helemaal bovenaan weten je wel ? zo'n rechthoek helemaal bovenaan dat kop 
A: 	hebben we ook al een keer hebben 
B: 	ja met die dat bank zeggen maar met dat 
A: 	ja dat bank 
B: 	dan zijn het P 
B: 	dit zijn die weer met dat bank 
A: 	ja even kijken 
A: 	dat zijn nummer veertien 
A: 	dit zijn met dat bank tafel 
B: 	ja 
B: 	dat zijn N 
B: 	dit zijn met dat bank 
A: 	oké 
A: 	even kijken ah nummer tien 
A: 	dit zijn met dat bank 
B: 	ja dat zijn D 
