A: 	deze hebben ook zo'n ei 
A: 	alleen er zitten een een een balk doorheen zeggen maar steken 
A: 	en aan het eind van die balk hebben je een een rond 
A: 	en dan boven in de kop steken er ook nog een soort van lepeltje uit 
A: 	dus als je even kijken naar welk allemaal een ei hebben dan zijn er dus één een soort van doorgespiest 
A: 	ik weten niet of je hem nu zien 
B: 	zitten het ei ook net als bij die ander boven in het 
A: 	nee aan de voorkant aan de voorkant van de van de van het kop zeggen maar 
B: 	en dan aan dat balk zitten ook nog weer een rond 
A: 	ja 
B: 	oké 
B: 	en bovenin opsteken er nog een soort lepeltje uit 
A: 	ja ja ja ja 
B: 	ja oké 
B: 	dan zijn dat F 
B: 	dit zijn een kop met zo'n ei erop en door dat ei een balk met nog een rond schijf eraan en een lepel dat eruit steken 
A: 	yes 
A: 	vijf 
A: 	dit zijn met dat ei met zo'n balk erdoorheen 
A: 	en zo'n plat rond aan de achterkant en dan een lepeltje eruit 
B: 	met die schijf ook weer aan 
A: 	ja ja ja 
B: 	ja dat zijn A 
B: 	dit zijn het kop met het ei erop de paal erdoor met die rond schijf eraan en het lepel dat er nog uit opsteken 
A: 	ja dat zijn vijf 
A: 	dit zijn met dat ei aan de voorkant waar zo'n balk doorheen spiest met een plat cirkel eraan en een lepel eruit 
B: 	ja dat zijn H 
A: 	aan de bovenkant 
B: 	bij deze zitten weer dat ei ertegenaan met de balk erdoorheen en die schijf 
B: 	en het lepel 
A: 	vijftien 
