A: 	ja dit vinden ik ook een beetje een raar ding het zijn een soort van weer zo'n soort beker die dan een soort van ja dienblaad hebben aan de rechterkant 
A: 	link een cilinder die gedeeltelijk zijn openmaken en een soort schoorsteenachtig ding wat daar weer uitspringen 
B: 	ja 
A: 	en dat schoorsteending zijn boven bred dan het beneden zijn 
B: 	ja ja ja ik hebben het de omgekeerde pion noemen 
A: 	ja ja dat zijn een makkelijker inderdaad dat zijn echt inderdaad hoe het eruitziet 
B: 	oké nee top dan hebben we dan zijn dat L 
B: 	oké dit zijn met de omgekeerde pion 
A: 	ja de die ik de schoorsteen hebben noemen 
B: 	ja inderdaad en en dan rechts dat half of ja doorgesneden cilinder 
A: 	ja 
A: 	ja precies 
B: 	ja 
A: 	ja dan zijn dat zeven 
A: 	dit zijn degeen met de omgekeerde pion zeggen maar en een soort van ja rechts en link cilinder die uitsteken 
B: 	ja 
B: 	C 
B: 	dit zijn de omgekeerde pion 
A: 	ja even kijken 
A: 	ja met dan weer zo'n cilinder met een hap eruit zeggen maar 
A: 	dat zijn één 
B: 	oké 
A: 	dit zijn weer die pion omgekeerd met de twee cilinder waarbij de een heel cilinder daar zijn een hap uit zeggen maar 
B: 	ja ja ja dat zijn A 
B: 	dit zijn de omgedraaien pion 
A: 	yes even kijken waar je zijn 
A: 	ja dat zijn dertien 
