A: 	oké het plaat wat ik nu gaan omschrijven zijn er één die hebben we eerder al benoemen een soort van twee arm en een paal er midden voor 
A: 	ja dat zijn hem 
B: 	dat zijn hem oké D 
B: 	ik moeten nu drukken 
A: 	ja kloppen 
B: 	ja oké 
B: 	oké dit zijn bolle bovenop en rechthoekig ding aan de voorkant 
A: 	even zien 
B: 	rechthoekig staaf 
B: 	en dan aan de beide kant de armp 
A: 	ja dus de arm met de staaf recht ervoor en het soort ei boven op de 
B: 	ja 
A: 	ja oké 
A: 	dat zijn vijftien 
A: 	dit zijn het plaat met de arm en de balk midden voor en een soort van ei erbovenop 
A: 	zeggen maar twee arm aan de zijkant balk er midden voor 
B: 	ja L 
B: 	oké 
B: 	dit zijn de het ei bovenop met die armp rechts links en aan de voorkant die paal 
A: 	die paal 
A: 	dat zijn zes 
A: 	dit zijn zeggen maar de arm en de paal ervoor en het ei erbovenop 
A: 	arm aan de zijkant zeggen maar 
B: 	ja J 
B: 	dit zijn de met de armp ei bovenop en de paal vooraan 
A: 	ja 
A: 	dat zijn drie 
