A: 	deze hebben een soort van twee arm maar de rechter zijn lang 
A: 	en hebben van die knobbel in plaats van hand 
A: 	laten we het zo maar zeggen 
B: 	ja 
A: 	en die hebben zo iets zo'n ding dat zo achteruit opsteken 
B: 	een achter ja dat zijn nummer b bij mij 
B: 	deze zijn die een met arm die recht zijn en dan een bolle aan de buitenkant 
B: 	en een dinge die erachter opsteken nog 
A: 	ja zo'n ding zo naar achter 
B: 	ja 
A: 	dat zijn nummer vier 
A: 	deze hebben dus die twee arm met één de rechter lang dan de linker en met van die knobbel 
A: 	en dan 
B: 	dat ding achter 
A: 	ja dat klein 
B: 	dat zijn p 
B: 	dit zijn die met de arm met bollet eraan 
B: 	en achter een ding nog 
A: 	twee arm met 
B: 	twee arm met een bol eraan en dan 
A: 	die zo 
B: 	ja 
A: 	dat zijn nummer vier 
A: 	deze hebben zo één lang arm één kort arm en van die knobbel laten we het zo maar zeggen met de klein ding er zo achter 
B: 	ja 
B: 	dat zijn l 
B: 	dit zijn de twee arm met bollet eraan 
B: 	en een ding naar achteren 
A: 	die zo 
B: 	ja 
A: 	waar zitten jij 
A: 	nummer twee 
