B: 	deze hebben ook vier dinge aan de de emmer , aan de beker 
A: 	ja 
B: 	beetje rechtsvoor zijn het een bal 
B: 	bovenop hebben hij er twee 
A: 	ja 
B: 	beetje in het midden zijn het een staaf 
A: 	ja 
B: 	ja 
A: 	en aan de linkerkant zijn soort gootje 
B: 	ja ja ja 
A: 	ja 
A: 	oké negen 
A: 	ja deze hebben dus ook vier uitsteeksel , twee aan de bovenkant 
A: 	één een beetje links 
A: 	links zijn een soort gootje 
A: 	en rechts aan de voorkant zijn er een soort bal 
B: 	een bal 
B: 	ja 
A: 	ja 
B: 	dat zijn C 
B: 	deze hebben een balle rechtsvoor en een gootje link 
A: 	ja 
A: 	en ja liniaal die eruit steken en een geen idee , toverstaf 
B: 	nog iets link daarvan 
A: 	nummer twaalf 
A: 	deze hebben vier uitsteking 
A: 	of vier uitsteeksel , aan de linkerkant zijn het een soort goo 
A: 	en in in de vaas of in de emmer steken steken uit een liniaal aan de rechterkant 
B: 	ja 
A: 	en links een soort toverstaf en rechts zijn ook een rond vorm die nog uitsteken 
B: 	en een bal 
B: 	ja 
B: 	dat zijn H 
B: 	deze hebben we net ook , die liniaal die er boven uit komen , rechts een bal , gootje link 
A: 	ja 
A: 	en de toverstaf 
B: 	ja 
A: 	nummer zes 
A: 	deze zijn met de liniaal en de toverstaf 
A: 	en links het goo 
B: 	ja G 
