A: 	deze hebben 
A: 	in totaal vier uitsteeksel het komme en vier uitsteeksel twee dezelfde uitsteeksel één aan de voorkant één aan de bovenkant 
A: 	een soort kegel 
A: 	en dan naar voren toe zien je eigenlijk steeds groot worden blok 
A: 	en naar achter toe zitten eigenlijk nog een beetje een kronkelen pijp 
B: 	kunnen je hem nog een keer omschrijven 
A: 	dus je hebben het komme die basisvorm 
B: 	ja 
A: 	en dan zitten omhoog zitten eigenlijk een kegel en naar voren toe zitten een kegel 
A: 	en dan hebben je eigenlijk een beetje naar achteren toe hebben je nog een een pijp 
A: 	en naar de ander kant toe hebben je één ja een trapsgewijs toelopen blok 
B: 	ja ja dus een beetje zo'n zo'n wormp die van achter uit die appel erin komen 
A: 	ja 
B: 	kunnen je dat zo zien 
A: 	ja 
B: 	zeggen maar zo'n beetje zo'n zo'n kronkelstaar aan de achterkant en dan twee van die kegel boven 
A: 	ja 
A: 	ja ervoor 
B: 	en aan de voorkant worden het zo'n groot vierkant met kleintje erachter 
A: 	ja 
B: 	oké dan zijn dat E 
A: 	inderdaad 
B: 	oké nu hebben we deze hebben we ook al hebben met dat wormp dat achterin die pot komen 
B: 	met dat vierkant dat zeggen maar klein vierkantje worden dichter naar de pot toe 
A: 	ja 
A: 	en die twee tentakel 
B: 	ja 
A: 	ja 
A: 	dat zijn elf 
A: 	dit zijn weer dat wormp die er in de basisvorm in kronkelt 
A: 	een tentakel een kegel omhoog naar voren 
A: 	en dat traps toewijzen toelopen blok 
B: 	dat zijn J 
B: 	dit zijn die met dat die pot en die vierkant voor en die worden steeds klein die vierkant aan de voorkant en dan staan er dat wormp zeggen maar bij zijn rug 
A: 	zijn aan het zoeken 
A: 	ja dat wormp wat er van achteren weer in komen 
B: 	ja 
A: 	ja 
A: 	inderdaad en dan nog twee extra kegel erbij 
A: 	dat zijn nummer negen 
A: 	dit zijn weer dat wormp dat erin boren 
B: 	ja 
B: 	dat zijn B 
B: 	dit zijn met dat wormp achterin 
A: 	ja dat zijn nummer vier 
