B: 	ik hebben er één met drie van die bolle zo ernaast aan beide kant 
A: 	en zo'n soort van confettislinger soort van achter 
B: 	ja of het erachter zijn 
A: 	en zo'n plateau eronder 
B: 	ja plateau eronder yes 
A: 	ja 
A: 	nummer vijf zijn dat 
B: 	oké 
A: 	oké 
A: 	ik hebben die met waar die op dat plateau staan met die soort gek slinger erachter 
B: 	ja 
B: 	ja die gek slinger dat zijn J bij mij 
A: 	ja 
B: 	oké ik hebben weer die met dat plateau met die soort van slinger erachter 
A: 	ja 
A: 	en het schotel aan de voorkant 
B: 	ja en het schotel 
A: 	nummer elf 
B: 	yes 
A: 	oké 
A: 	dit zijn weer die op dat plateau staan met dat schotel aan de voorkant en die gek freubeltjes aan de achterkant 
B: 	yes dat zijn de P bij mij 
B: 	yes oké 
B: 	het zijn weer dat plateau met die slinger 
A: 	oké 
B: 	en dan dat schotel 
A: 	nummer negen weer 
A: 	deze zijn met dat plateau en dan met die freubeltjes erachter die confettislingerdinge 
B: 	die slinger 
B: 	ja ja L 
