A: 	het lijken op een als je er een gezicht bij voorstellen hebben hij een soort staaf door zijn neus zullen ik zeggen 
A: 	met een cirkel eraan 
A: 	en een soort pluimp op het hoofd 
A: 	aan de achterkant 
B: 	ja je bedoelen k denken ik 
B: 	deze hebben een soort appeldinge of een soort veer op zijn hoofd 
B: 	en die hebben een aardappelneus met een staaf er dwars doorheen 
A: 	ja 
B: 	met aan de rechterkant een cirkel daaraan 
A: 	ja dat zijn vijf 
A: 	deze hebben een een staaf door zijn neus 
B: 	ja 
A: 	en door zijn aardappelneus 
A: 	en een een veer op zijn hoofd 
B: 	ja dat zijn m 
B: 	deze hebben een staaf door zijn aardappelneus en een pluimp op zijn hoofd 
B: 	ik vinden dat een heel goed beschrijving 
A: 	ik kunnen hem niet vinden 
B: 	het lijken ook wel een soort parasolle 
A: 	ja 
A: 	een parasolle 
A: 	ja die eraan hangen 
B: 	ja 
A: 	vier 
A: 	staaf door de neus 
B: 	dat zijn p 
B: 	staaf door zijn neus pluim 
A: 	ja ik zoeken hem 
A: 	ja vier 
