A: 	zijn weer de bak aan de bovenkant zijn een vierkant dat doorboren worden door door eigenlijk twee torent 
A: 	en het vierkant zijn een wat zullen we 45 graad draaien 
A: 	dat opsteken hij zo in de bak 
B: 	dat zijn een plat vierkant 
B: 	het zijn geen kubus zegmaar 
A: 	ja 
A: 	nee zijn een plat vierkant 
A: 	ja eigenlijk twee plat vierkant 
B: 	ja ja 
B: 	ja 
B: 	ik vinden het op een frankenstein lijken 
B: 	die zo met zijn arm voor zich uit lopen 
A: 	ja als je er zo naar gaan kijken 
A: 	maar je zien hem 
B: 	ik zien hem 
B: 	nummer J 
A: 	top 
B: 	ja 
B: 	letter J trouwens 
B: 	zijn Frankenstein 
B: 	duidelijk 
B: 	vierkant met twee pinn door zijn hoofd 
B: 	door zijn kop 
B: 	bovenop 
B: 	het kop 
A: 	bovenop de kop staan twee ding 
B: 	dus je hebben het kop 
B: 	en dan hebben je een vierkant 
A: 	ja 
B: 	en aan weerszijde van het vierkant steken toren uit 
B: 	en het lijken alsof hij zo lopen 
B: 	in mijn fantasie 
B: 	dus hebben twee twee aan de zijkant ook twee twee arm uitgestoken 
A: 	ja 
B: 	volgens mij zijn het er twee tenminste 
B: 	moeten ik het nog anders omschrijven 
A: 	ik zien hem niet 
A: 	nee ik zien hem niet 
B: 	oké je hebben dat kop 
B: 	dat zijn de basis 
A: 	ja 
B: 	en onderin hangen een voe 
B: 	aan de rechterkant hangen twee uitstulping 
A: 	oké 
B: 	bovenop een vierkant met twee aan beide kant 
A: 	ja 
A: 	ja 
A: 	dan hebben ik hem 
A: 	dan 
B: 	ja 
A: 	negen 
A: 	toilet met daarbovenop de weer dat , die twee vierkant , met aan de zijkant een pilaar wat er in opsteken 
A: 	rechterkant zitten twee uitsteeksel 
B: 	rechterkant zitten twee uitsteeksel 
A: 	misschien naar als je bovenop kijken 
A: 	daar zitten twee vierkant plaat , en aan de beide kant van de pilaar , van de plaat , zitten een uitsteeksel 
B: 	ja 
B: 	met die armpjes weer zo 
A: 	ja 
A: 	ja ja ja 
B: 	zijn J 
B: 	Frankenstein kop ik zien niks ander 
B: 	twee plank naast elkaar 
B: 	op de bovenkant 
A: 	ja 
A: 	ja 
B: 	met die staaf er doorheen 
A: 	ja nummer twee 
A: 	Frankenstein 
B: 	ja F 
B: 	van Frankenstein 
B: 	Frankenstein 
A: 	nummer dertien 
