B: 	deze hebben een vierkant beetje aan de voorkant beetje naar rechts toe 
B: 	en links twee van die staven met vierkant die steeds groot worden 
A: 	ja 
B: 	en ja 
A: 	en en bovenop een een staaf met een met een plat 
B: 	ja 
B: 	soort paddenstoel ja 
A: 	ja 
A: 	zeven 
A: 	ja deze hebben een ja soort handvat aan de bovenkant met een plat plat top 
A: 	en aan de voorkant zijn er een vierkant 
B: 	en twee link 
A: 	ja 
B: 	ja dat zijn O 
B: 	deze hebben een vierkant rechtsvoor en een soort paddestoel er bovenop 
A: 	ja en twee kubus die steeds groot worden 
B: 	ja 
A: 	ja nummer tien 
A: 	deze hebben vierkant beetje rechts van het midden en twee kubusvormig uitsteeksel aan de linkerkant die steeds groot worden 
B: 	link ja 
B: 	G 
B: 	deze hebben een vierkant aan de voorkant en een paddenstoel er bovenop 
B: 	en 
A: 	ja 
A: 	en twee kubusvorm ja 
B: 	ja 
A: 	nummer drie 
A: 	deze hebben een vierkant rechts aan de voorkant een beetje 
A: 	en er zijn twee uitsteeksel met die kubus die steeds groot worden 
B: 	ja 
B: 	K 
