A: 	one's dit zijn een koffiemok waar een balle in drijven 
A: 	link bovenin 
B: 	zijn dat het enig wat eraan gebeuren 
A: 	nee er gebeuren wel veel maar dat zijn eigenlijk de enig vorm waarbij dat specifiek zijn 
B: 	dus een soort eibolle 
B: 	ja 
A: 	er zitten ook nog twee hengsel één link één rechts en een 
B: 	ja 
B: 	dan weten ik welk je bedoelen en dan dat balk rechtop 
A: 	rechthoek voor 
A: 	ja 
B: 	ja dat zijn bij mij nummer D 
B: 	ik hebben een balk rechthoekig balk die voor de de basisvorm staan 
B: 	waarbij er aan de rechterkant een klein cilinder uit opsteken 
B: 	en aan de linkerkant een cilinder met een hoek erin en bovenop een bolle 
A: 	ja 
A: 	nummer vijftien 
A: 	dit zijn de de koffiebeker of nou ja met het balle wat link bovenin drijven 
A: 	en aan de voorkant hebben je een rechthoekig pilaar en aan de zijkant twee ronde 
B: 	ik weten het 
B: 	ja 
B: 	dat zijn L bij mij 
A: 	oké 
B: 	ik hebben degeen met een bolle bovenop 
B: 	een balk voor en dan 
A: 	ja 
A: 	nummer zes 
B: 	yes 
A: 	dit zijn de koffiemok waar Linksboven een balle in drijven 
A: 	en ervoor een rechthoekig blok naar beneden lopen en aan de linker en rechterkant armp 
B: 	ja 
B: 	J zijn dat 
B: 	ik hebben degeen met een balk voor een bolle boven veel aan de linkerkant en dan een lang uitsteeksel 
A: 	ja 
A: 	nummer drie 
