A: 	ja oké 
B: 	oké ik hebben die met dat draaien stuk eronder dat eruit steken 
A: 	ja 
B: 	en dan eindigen het op zo'n driehoekig kaas 
A: 	op zo'n driehoek ja dat zijn nummer vier 
B: 	oké 
A: 	oké 
A: 	ja dit zijn weer inderdaad dat draaien ding zo naar beneden met dat driehoek eronder 
B: 	ja ja dat zijn A bij mij 
B: 	awesome 
B: 	weer dat draaien ding eronder dat eindigen 
A: 	ja 
A: 	nummer tien 
A: 	nou die worden makkelijk 
B: 	ja 
A: 	dit zijn weer met die gedraaide naar beneden met het driehoek 
B: 	oké ja de L bij mij 
B: 	oké weer dat met het draaien eronder 
A: 	ja nummer vier 
B: 	oké top 
A: 	weer met dat draai en 
B: 	ja F 
