B: 	alright one's ja als je het kop hebben daar zitten een bolle op aan de rechterkant 
B: 	en daar opsteken aan de linkerkant een soort dentastixding uit zo soort driehoek uitgerekt 
B: 	en aan de bovenkant hebben je ja ik weten niet het uitzien er heel erg uit als een buttplug en dan rechts daarvan een een rechthoek 
B: 	ja 
A: 	een soort strip zeggen maar 
B: 	ja 
A: 	ja 
A: 	oké 
B: 	weten je hem 
A: 	dat zijn nummer veertien 
B: 	oké 
A: 	dit zijn weer dat kop met aan de linkerkant zo'n driehoekig uitsteeksel 
A: 	en aan de rechterkant een bolle aan de voorkant en aan de bovenkant komen er twee ding uit 
B: 	ja ik weten welk het zijn 
B: 	de N 
B: 	dit zijn die met de driehoek die aan de linkerkant uittrekken worden 
B: 	en bovenin zo'n rechthoek en dan wel een bolle aan de rechterkant 
A: 	waar twee ding uit de bovenkant komen 
B: 	ja waarvan één ja 
A: 	ja 
A: 	negen 
A: 	dit zijn het plaat met aan de bovenkant twee uitsteeksel en aan de rechterkant een rond en aan de linkerkant dat driehoekig uitsteeksel 
B: 	sorry kunnen je dat herhalen 
A: 	ja dat die aan de bovenkant twee uitsteeksel hebben 
B: 	ja 
A: 	met een soort stripje en die 
B: 	oké en aan de linkerkant de driehoek uitgerekt 
A: 	ja 
B: 	oké dat zijn G 
B: 	dit zijn met die vier uitsteeksel en de Rechteruitsteeksel zijn het bolle en links zijn de doorgetrokken driehoek 
A: 	ja nummer vijf 
A: 	en dit zijn het plaat met aan de rechterkant het bolle en aan de bovenkant die twee uitsteeksel 
B: 	ja 
A: 	en aan de linkerkant het driehoek wat eruit komen 
B: 	dat zijn J 
