B: 	ja eigenlijk deze hebben zeggen maar twee van die uitsteeksel eigenlijk een beetje Pippi Langkousvlechten 
A: 	ja 
B: 	en dan een ronde ja plaat daarvoor 
B: 	en zeggen maar het vaststaan ook op een plaat 
B: 	en aan de achterkant staan zeggen maar nog twee bog 
A: 	ja ik zien hem 
A: 	en die Pippi Langkous die hebben dat zijn veel een beetje wat zijn dat ? van die diamant drie diamant aan de beide 
B: 	ja ja ja 
A: 	ja 
A: 	vijf 
A: 	dit zijn Pippi Langkous 
B: 	ah ja 
B: 	J 
B: 	dit zijn die Pippi Langkous 
A: 	waar staan je ? ja daar 
A: 	elf 
A: 	veel boven bij mij 
B: 	ja 
A: 	Pippi Langkous 
B: 	ja 
B: 	P 
B: 	Pippi Langkous 
A: 	Pippi Langkous ja 
A: 	negen 
A: 	Pippi Langkous 
B: 	L 
