A: 	ja het zijn allemaal bekert maar het zijn een beker met een een handvat en hij hebben een soort van lepeltje hebben die vast in de hand 
A: 	en er steken ook een zo iets erbovenuit 
B: 	iets erbovenuit 
A: 	zeggen maar hij staan zeggen maar zo en dan een stengel en dan het lijken een beetje op een lepeltje het zijn niet helemaal een lepeltje het kunnen ook een soort van een een teken van een voet zijn 
B: 	teken van een voet 
A: 	en hij hebben zeggen maar één één zo'n streep Erboven zeggen maar zo'n kuis 
B: 	ja 
B: 	één zo'n streep Erboven dat zijn eigenlijk ook aan de zijkant hetzelfde 
A: 	nee aan de zijkant zijn dat anders 
B: 	hebben die zo hebben het zeggen maar zo'n kuifje Erboven 
A: 	ja één zo'n kuifje Erboven zo'n heel zo'n klein 
B: 	ja 
B: 	en zijn het dan zo ja zo'n eigenlijk dat het net lijken of dat er een neus zijn met een neuspiercing 
A: 	ja kunnen ook ja ja kloppen zitten ik ook aan te kunnen ook ja 
B: 	ja oké 
B: 	ja 
B: 	oké ja 
B: 	dan hebben ik hem 
B: 	F 
B: 	en dit zijn weer die met dat kuifje en dan met die neus met zo'n ding erdoorheen 
A: 	ja die piercing wat jij zeggen 
B: 	ja 
A: 	vijf 
A: 	dit zijn de neuspiercing 
B: 	de neuspiercing dat zijn A 
B: 	de neuspiercing 
A: 	ja 
A: 	vijf 
A: 	de neuspiercing 
B: 	waar zijn 
B: 	even kijken waar daar 
B: 	H 
B: 	de neuspiercing 
A: 	ja 
A: 	vijftien 
