A: 	okee nou zien ik inderdaad een vierkant 
A: 	ik hebben dus die hoofdbak weer gewoon 
A: 	die je op elk plaat zien 
A: 	dan hebben ik een soort rond neus op de voorkant en daar ja dat noemen ik maar even een piercing zitten een staaf doorheen 
B: 	ja 
A: 	en aan de rechterkant van die staaf zitten een cirkelt 
B: 	je hebben een cirkelplateau aan de voorkant 
A: 	nee ik hebben geen plateau 
A: 	ik hebben dus gewoon de de bak 
B: 	ja 
A: 	met een rond neus een rond een soort ei eigenlijk 
B: 	ja 
A: 	aan de voorkant van die bak 
B: 	ja 
A: 	en door dat ei zitten een staaf gewoon een ja een een staaf erdoorheen 
B: 	ja 
A: 	en dan aan de rechterkant van die staaf zitten een cirkelt opgeplakt 
B: 	ja ik hebben het 
B: 	f 
B: 	de hoofdvorm en dan eigenlijk lijken het alsof er een soort van zuignap aan vast zitten dus een ei aan de voorkant met een staaf er doorheen en dan een cirkel aan het uiteinde van die staaf 
A: 	ja 
B: 	en dan daar bovenop zitten zo'n schuin zo'n kegel op zijn kop 
A: 	ja 
A: 	nummer drie 
A: 	ook bij deze hoofdvorm zitten een ei voorop die hebben een staaf door het ei heen 
A: 	aan de rechterkant worden de staaf afsluiten met een soort cirkel 
B: 	ja 
B: 	o 
B: 	dit zijn de hoofdvorm dat aan de voorkant het ei zitten met een staaf ertussen en een cirkelplateau aan de zijkant en een schuin kegel bovenop 
A: 	ja 
A: 	nummer zestien 
A: 	dit zijn de hoofdvorm met een ei en daar een een ei voorop en daar een vierkant staaf doorheen met aan de uiteind zo'n rond dinge 
B: 	ja b 
B: 	dit zijn de hoofdvorm met eigenlijk een soort van een zuignap dus dat ei voorop met een staaf er doorheen en een cirkelplateau aan het uiteinde van de staaf 
A: 	ja 
A: 	nummer tien 
