A: 	je hebben een soort handvat bovenop en aan de linkerkant hebben die hetzelfde handvat 
A: 	rechts hebben die blok die groot worden 
A: 	bijna alsof je een lepel in het kop hebben steken en die zitten dan ook links 
B: 	ja ik hebben hem ja ik hebben hem 
A: 	ja 
B: 	er zitten nog zo'n gek friemel aan de achterkant eigenlijk een beetje 
A: 	zitten er nog een 
A: 	ja 
B: 	ja 
B: 	er steken boven een soort van lepel uit 
B: 	en dat zijn voor mij dan even kijken E 
A: 	nee dat lijken er niet op 
B: 	one deze die hebben een 
B: 	ja wat zijn het ? een soort van lepel die echt recht naar boven opsteken aan de rechterkant een blok vierkant blok wat steeds groot worden 
B: 	en links een 
A: 	ja links hebben die dan dezelfde lepelding 
B: 	ja zelfde lepel inderdaad en daarachter zitten dan een veel aan de achterkant zitten ook wat 
A: 	die 
A: 	ja precies dat zijn elf voor mij 
A: 	dit zijn degeen met de lepel bovenin en dezelfde lepel aan de zijkant en dan de vierkant die groot worden 
B: 	ja 
B: 	dat zijn J voor mij 
B: 	deze hebben weer lepel die Erboven en link uitsteken en rechts de groot worden vierkant 
A: 	ja 
A: 	ik moeten hem even zoeken 
A: 	ja dat zijn negen voor mij 
A: 	dit zijn die met de lepel bovenin en dezelfde lepel links 
B: 	een lepel bovenin even kijken ja dat zijn B 
B: 	met de twee gelijk lepel één boven één link 
A: 	ja 
A: 	dat zijn vier voor mij 
