B: 	oké nu hebben ik het vierkant niet 
A: 	ja en nu hebben ik hem inderdaad 
B: 	ja 
B: 	ja 
A: 	ja ik vinden deze een beetje lijken alsof die een soort van neus hebben 
A: 	omdat die hij hebben zo'n ronde ja bobbel zeggen maar aan de voorkant 
A: 	dus dan hebben je er als het goed zijn nog maar twee 
A: 	en deze hebben er een soort van staaf doorheen 
B: 	een staaf erdoorheen 
A: 	ja door die bobbel zijn dat heen 
B: 	en lijken het op een ei 
A: 	die bobbel 
B: 	de bobbel 
B: 	ja 
A: 	ja ja 
B: 	dus de bobbel zijn een ei 
A: 	ja 
B: 	zitten die aan de rechterkant 
A: 	ja 
A: 	en daar zitten dan zo'n staaf doorheen met nog een een soort van punaise zitten erdoorheen 
B: 	even kijken maar er zitten een ei rechts vooraan 
A: 	en hij hebben 
A: 	ja 
B: 	en er er zitten een staaf door het ei heen ja oké nee dan weten ik welk het zijn 
A: 	ja door het ei inderdaad niet door 
A: 	ja 
B: 	en dan zitten er nog zo of the het lijken een beetje op een 
A: 	soort van kuifje zitten er nog bovenop 
B: 	het lijken een beetje op een blaad 
A: 	ja 
B: 	ja 
B: 	het lijken een beetje op een zo hoe ze een appel vaak afbeelden met zo'n zo'n zo'n steel of zo'n blaad zo 
A: 	ja inderdaad ja 
A: 	ja 
B: 	en dan een doorboren ei 
A: 	ja 
B: 	ja oké 
B: 	dan zijn het F 
B: 	even kijken dit zijn die met dat doorbooren ei aan de rechterkant voor 
A: 	ja dat zijn vijf 
A: 	dit zijn die doorbooren ei 
A: 	met dat appelblaad 
B: 	hebben jij net het nummer zeggen 
A: 	ja 
B: 	oké ja 
A: 	ja ik beginnen even te 
B: 	dus dat zijn doorbooren ei oké dat zijn A 
B: 	ja 
B: 	dit zijn het doorbooren ei 
A: 	dat zijn vijf 
A: 	dit zijn weer die doorboren ei 
B: 	dat zijn H 
B: 	dit zijn het doorbooren ei 
A: 	ja dat zijn vijftien 
