A: 	hier hebben je twee handvat met cirkel aan beide kant van de emmer 
A: 	links zijn hij wat kort dan rechts 
A: 	dus zijn eigenlijk twee uitsteeksles met een bal erop 
B: 	ja 
A: 	en aan de achterkant hebben je een schuin vierkant 
A: 	met daaronder een balk die omlaag gaan 
B: 	ja 
B: 	b 
B: 	deze hebben die die stok door die emmer heen 
B: 	aan de een kant zijn hij wat kort en hij hebben een bobbel aan het eind en dan aan de ander kant zijn hij iets lang 
B: 	achterop zijn een schuin vierkant 
B: 	met daar ook een soort van ding eraan 
B: 	zo of hij liggen achter de emmer soort van een baseballbat 
B: 	maar dan niet echt 
A: 	Baseballbat 
B: 	achter de emmer zijn een 
A: 	en zitten hij ja zo'n schuin vierkant naar links richten zeggen maar weer zo 
B: 	ja 
B: 	ja 
A: 	en dan twee staf met die bal eraan 
B: 	ja die staaf lijken een beetje op een baseballbat 
A: 	okee 
A: 	ja veertien 
A: 	dit zijn die baseballbat 
B: 	ja 
B: 	where did it go ? l 
B: 	deze hebben de baseballbat 
A: 	ja 
A: 	een 
A: 	de de baseballbat 
B: 	ja i 
B: 	de baseballbat 
A: 	zes 
