A: 	starten maar 
B: 	ja 
B: 	nou het zijn zoals al die ander ding een soort emmerachtig vorm 
A: 	ja 
B: 	aan de linkerkant 
B: 	zitten een cilinder met een pentagonvorm 
B: 	en aan de onderkant zitten die ovaalvormig aan de grond vast 
A: 	aan de onderkant 
B: 	ja 
B: 	aan de onderkant zitten die ovaalvormig aan de grond monteren 
A: 	ovaal komen 
B: 	ja en aan de achterkant 
A: 	ja 
B: 	zitten een cirkel 
A: 	en zitten er ook nog een klein raar dinge op 
B: 	ja 
B: 	een soort soort plopje aan 
B: 	een soort kegel 
A: 	oké 
A: 	zijn het dertien 
A: 	dat moeten ik zeggen toch 
B: 	volgens mij moeten je nu inderdaad dertien of iets noemen en dan op de geel knop drukken 
A: 	ja tuurlijk 
A: 	dertien 
A: 	ja beker er zitten aan de achterkant zitten er dus een cirkel 
A: 	gaan een balk doorheen 
B: 	volgens mij zijn dat er ook maar één hè ? cirkel aan de achterkant 
A: 	ja 
B: 	en een soort kegel aan de bovenkant 
A: 	ja precies 
B: 	dat zijn O 
B: 	zijn niet dezelfde plek 
B: 	zo al object het lijken wel ik weten niet of je hetzelfde hebben bij mij zijn alles helemaal daar en er zitten één iets rechts bovenin 
A: 	ja 
A: 	ja alles zitten bij mij helemaal hier 
B: 	oké 
B: 	ja dat kloppen aangezien we tegenovergesteld staan 
B: 	dit zijn de het kop met de cirkel aan de achterkant 
A: 	ja ik zien hem 
A: 	dat zijn acht 
A: 	zitten een rond achter 
A: 	en er zitten een cilinder doorheen 
B: 	oké 
B: 	ja 
B: 	dat zijn C 
B: 	het zijn die met het rond aan de achterkant 
A: 	met het rond aan de achterkant even kijken hoor 
B: 	half rond aan de achterkant 
B: 	je zien de helft maar 
A: 	ja 
A: 	dat zijn zeven 
A: 	oké 
A: 	er zitten een half rond zitten erachter 
A: 	rond 
A: 	kunnen een half rond zien er zitten een balk doorheen en beneden zijn een 
B: 	ja 
B: 	dat zijn C 
A: 	ja 
B: 	cool 
B: 	nu komen het volgen deel 
A: 	wat 
B: 	whaa 
A: 	ik hebben nu al honger ik beginnen honger aan het krijgen 
