A: 	er zitten een groot verticaal balk voor de emmer 
A: 	en bovenop de emmer hebben je een bal 
A: 	en dan links en rechts hebben je twee cilinder 
B: 	ja 
B: 	soort van hengel uitsteeksel 
A: 	ja 
B: 	p 
B: 	deze hebben we al hebben er zitten bovenop zitten er een bal 
B: 	aan beide kant komen er twee soort van handvaten uit 
B: 	en voorop zijn er een lang rechthoekig ding 
A: 	negen 
B: 	ja 
A: 	deze hebben een bal bovenop de emmer en voor de emmer zijn een balk 
B: 	ja 
B: 	j 
B: 	deze hebben een bal bovenop 
B: 	en twee handvat soort van die eruit komen 
B: 	en er zitten een staaf voorop 
A: 	na zeven 
A: 	deze hebben die bal bovenop en voor de emmer een groot balk 
B: 	ja j 
B: 	dit zijn die met die bal bovenop twee handvat aan de aan de beide kant en een staaf voorop 
A: 	negen 
