B: 	bij mij staan hij op een groot vierkant rechthoek 
B: 	komen een soort van bobbelen stang door de emmer 
B: 	rond voorop 
A: 	vier 
A: 	die zijn dat zijn helikopter vanaf nu 
B: 	ja wat snel 
A: 	hier zijn die kraal aan beide kant van de emmer die eruit komen 
B: 	ja en hij zijn op dat platform 
A: 	ja dat platform 
B: 	ja 
B: 	i 
B: 	deze hebben de staaf met kraal door de achter de emmer heen en een rond voorop 
A: 	ja acht 
B: 	ja 
A: 	dit zijn die kraal 
B: 	okee o 
B: 	deze hebben de staal met kralen erachter 
A: 	acht 
A: 	die kraal 
B: 	e 
