A: 	ja ik vinden deze echt ook een beetje lastig ik hebben er uiteindelijk een F van maken als je zeggen maar soort kijken vanaf het beker dan hebben die twee steeksel 
A: 	die een beetje doen denken aan een F als je de de beker door zullen trekken als op één lijn 
A: 	en dan een soort van hoed ja als een soort lampenkap 
A: 	en dan nog één ja een soort ja handvat eromheen en een staart 
B: 	staart ja ja ik hebben hem 
A: 	ja 
B: 	dat zijn I 
B: 	oké dit zijn de wat jij zeggen de F met die aan de rechterkant twee uitstekend balk 
A: 	ja 
B: 	en dan erbovenop de half kegelachtig in het midden zo'n balk 
A: 	ja 
A: 	ik hebben hem 
B: 	ja 
A: 	twee 
A: 	dit zijn de F 
A: 	met het soort van hoed met een driehoek 
B: 	de F zeggen je toch 
A: 	ja de F 
B: 	ja 
B: 	dat zijn bij mij M 
B: 	dit zijn de F met de 
A: 	ja 
A: 	dat zijn negen 
A: 	dit zijn de F 
B: 	ja dat zijn F toevallig 
B: 	dit zijn de F 
A: 	ja dat zijn zes 
